Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,anger,intense;blind;sudden;deep;raw;simmering;explosive;quiet;righteous;bitter
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,courage,brave;unwavering;bold;heroic;steadfast;quiet;moral;fierce;inspiring;indomitable
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,fear,intense;irrational;deep-seated;sudden;paralyzing;primal;overwhelming;creeping;unfounded;gripping
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,freedom,absolute;hard-won;personal;unlimited;true;basic;cherished;unrestricted;newfound;enduring
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;overwhelming;fleeting;radiant;inner;joyful;profound
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,hate,intense;bitter;deep-seated;irrational;burning;blind;festering;unrelenting;poisonous;vicious
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,honesty,brutal;unwavering;absolute;refreshing;straightforward;rare;heartfelt;complete;transparent;sincere
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,justice,swift;blind;social;true;equal;poetic;restorative;impartial;divine;harsh
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;profound;hidden;scientific;essential;theoretical;shared;innate
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;pure;romantic;selfless;deep;forbidden;eternal;tender
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;profound;temporary;serene;absolute;harmonious
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;intuitive;hard-earned;deep;worldly;spiritual;insightful
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,bell,loud;ringing;clear;antique;small;large;golden;silver;church;alarm
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;short;waxen;decorative;aromatic;colored;emergency;elegant
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;colorful;antique;plush;oriental;worn;synthetic
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;counterfeit;old;foreign;valuable;small
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ancient;ceremonial;heavy;ornate;symbolic;imperial;sparkling
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;proud;symbolic;foreign;striped;bold;historic
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,mask,mysterious;protective;decorative;facial;theatrical;eerie;colorful;ancient;disposable;elaborate
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,necklace,sparkling;gold;pearl;elegant;antique;beaded;simple;layered;delicate;ornate
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;classic;modern;colorful;landscape;portrait;faded;impressive
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,ring,golden;diamond;engagement;simple;antique;silver;oversized;engraved;wedding;flashy
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,statue,towering;marble;ancient;bronze;heroic;modern;detailed;commemorative;weathered;imposing
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,vase,ornate;glass;ceramic;antique;decorative;tall;floral;fragile;colorful;elegant
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low-hanging;billowing;gray;cumulus
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,earthquake,devastating;powerful;sudden;minor;seismic;destructive;underground;intense;shallow;frequent
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,fog,thick;dense;misty;rolling;early-morning;chilling;persistent;light;coastal;eerie
grok-3-mini,english-monolingual,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,lightning,bright;jagged;sudden;electric;forked;intense;distant;spectacular;dangerous;flashing
