Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,big;hot;bad;strong;much;good;new;different;important;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,courage,big;strong;good;new;different;real;true;much;important;brave
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,fear,big;small;strong;much;bad;new;different;good;hard;real
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,freedom,big;good;much;real;new;important;different;more;true;great
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,happiness,big;much;good;more;new;different;real;true;great;small
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,hate,big;much;bad;strong;new;different;good;important;real;great
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,honesty,big;good;real;new;important;different;more;true;great;small
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,justice,big;good;real;new;important;different;more;true;hard;great
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,knowledge,big;much;good;new;different;important;hard;real;more;great
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,love,big;much;good;new;different;important;real;more;true;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,peace,big;good;new;real;different;important;much;true;great;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Abstract Concepts,wisdom,big;good;new;different;real;important;more;true;great;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;loud;different;much;metal;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;white;good;different;wax;long;yellow
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;good;different;soft;much;long
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,coin,big;small;new;old;gold;silver;good;metal;different;much
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,crown,big;small;new;old;gold;good;beautiful;different;real;much
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;red;good;different;white;much;long
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;white;black;different;good;hard;real
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,necklace,big;small;new;old;gold;silver;beautiful;good;long;different
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;red;blue;green;good;beautiful;different
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,ring,big;small;new;old;gold;silver;good;different;real;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;stone;white;good;different;hard;real
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;white;beautiful;good;different;hard;much
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,cloud,big;small;white;gray;dark;much;different;high;good;long
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;new;good;different;real;hard;much;important
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,fog,big;small;thick;white;gray;good;new;different;cold;dark
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,lightning,big;fast;strong;new;good;different;white;hot;much;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,rain,big;small;much;new;hard;good;different;cold;real;long
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,rainbow,big;small;new;different;good;colorful;bright;much;long;high
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,snow,big;small;much;white;new;cold;good;different;soft;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,storm,big;strong;hard;new;much;different;good;bad;long;dark
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;hard;new;much;different;good;real;bad
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,tide,big;small;high;low;new;good;different;much;real;long
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,volcano,big;small;hot;new;old;active;good;different;much;dangerous
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,wind,big;small;strong;much;new;cold;good;different;real;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,apple,big;small;red;green;yellow;new;old;good;sweet;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,banana,big;small;yellow;good;new;old;sweet;soft;long;different
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,beef,big;small;new;old;good;red;hard;soft;much;different
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,bread,big;small;new;old;white;brown;good;different;hard;soft
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,broccoli,big;small;green;good;new;old;different;much;hard;soft
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,cheese,big;small;new;old;white;yellow;good;hard;soft;different
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,chicken,big;small;new;old;white;good;different;much;hard;soft
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,egg,big;small;new;old;white;good;different;hard;soft;raw
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,fish,big;small;new;old;good;fresh;salty;different;much;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,pasta,big;small;new;old;white;yellow;good;different;hard;soft
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,rice,big;small;new;old;white;good;much;different;long;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Food Items,soup,big;small;new;old;hot;good;different;much;long;cold
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,artist,good;new;old;different;famous;real;much;great;small;young
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,athlete,good;new;old;strong;different;fast;much;great;small;young
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,chef,good;new;old;famous;different;much;great;real;small;big
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,doctor,good;new;old;different;famous;much;important;real;young;great
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,engineer,good;new;old;different;important;much;real;great;small;big
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,farmer,good;new;old;small;big;different;hard;much;real;young
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,lawyer,good;new;old;different;famous;important;much;real;great;young
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,musician,good;new;old;famous;different;real;much;great;small;young
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,scientist,good;new;old;different;famous;important;real;much;great;young
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,soldier,good;new;old;young;strong;brave;much;different;hard;real
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,teacher,good;new;old;different;young;real;much;important;small;big
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Human Roles,writer,good;new;old;famous;different;real;much;great;small;young
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Inanimate Objects,book,big;small;new;old;good;long;hard;different;interesting;much
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Inanimate Objects,bridge,big;small;new;old;long;different;good;high;hard;much
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Inanimate Objects,drums,big;small;new;old;loud;different;good;hard;much;long
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Inanimate Objects,earth,big;round;new;old;good;different;green;brown;real;hard
gemini-2.0-flash,think-in-native,2.0,TH # Thai,B1,most frequent,Inanimate Objects,flute,big;small;new;old;long;good;different;much;hard;easy
