Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,anger,strong;big;bad;hot;quick;sudden;deep;great;blind;cold
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,courage,brave;true;great;big;small;new;old;quiet;personal;strong
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,fear,big;strong;great;sudden;deep;bad;cold;dark;real;intense
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,freedom,great;true;new;big;personal;strong;full;real;simple;open
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,happiness,great;big;true;real;simple;deep;strong;quick;personal;warm
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,hate,strong;deep;big;cold;blind;great;pure;old;new;bad
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,honesty,true;full;simple;great;real;strong;pure;deep;personal;basic
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,justice,true;fair;great;strong;quick;blind;real;full;simple;basic
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,knowledge,great;deep;new;real;simple;strong;full;basic;personal;wide
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,love,great;true;deep;strong;pure;big;real;warm;new;blind
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,peace,great;true;quiet;deep;full;real;simple;strong;warm;new
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;old;simple;real;strong;full;basic;quiet
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;metal;round;simple;golden
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;old;new;soft;warm;simple;long
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;red;blue;clean;dirty;thick
grok-3-mini,basic,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,coin,small;old;new;gold;silver;shiny;round;metal;dirty;heavy
