Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,anger,strong;hot;big;sudden;deep;bad;great;quick;pure;wild
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,courage,brave;good;true;big;bold;real;new;fast;steady;firm
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,fear,big;dark;strong;sudden;cold;deep;bad;real;quick;hidden
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,freedom,good;full;true;new;big;open;real;fast;clear;sweet
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,happiness,great;true;big;warm;bright;good;full;new;pure;sweet
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,hate,strong;deep;cold;bad;pure;dark;bitter;hard;quick;blind
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,honesty,true;good;real;clear;simple;big;strong;pure;new;full
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,justice,fair;good;true;strong;clear;right;big;fast;pure;blind
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;new;good;real;big;useful;clear;true
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;warm;big;sweet;real;good;blind
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,peace,quiet;good;full;true;deep;warm;big;sweet;clear;strong
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,wisdom,great;old;deep;true;clear;good;wise;big;pure;real
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,bell,big;old;loud;small;shiny;new;clear;metal;round;broken
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;new;old;soft;white;long;cheap;melted
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,carpet,soft;big;old;new;clean;dirty;warm;thick;colorful;cheap
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,coin,small;old;shiny;new;metal;round;gold;silver;rare;dirty
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,crown,big;old;gold;shiny;new;royal;heavy;beautiful;broken;simple
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,flag,big;old;colorful;new;national;red;blue;white;torn;proud
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,mask,small;old;new;black;white;scary;funny;cheap;broken;hidden
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,necklace,beautiful;small;gold;silver;new;old;shiny;cheap;long;broken
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,painting,beautiful;big;old;new;colorful;famous;simple;bright;dark;cheap
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,ring,small;gold;silver;new;old;shiny;cheap;broken;simple;beautiful
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,statue,big;old;stone;new;tall;famous;broken;simple;metal;white
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,vase,beautiful;old;new;big;small;glass;broken;colorful;cheap;simple
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,cloud,white;big;soft;dark;light;high;fast;gray;fluffy;low
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;bad;deep;dangerous;fast;long;rare;violent
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;low;gray;wet;quiet;dense;soft
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;sudden;dangerous;white;hot;rare;long;wild
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rain,heavy;cold;light;wet;fast;soft;gray;long;fresh;quiet
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;big;clear;rare;full;wet;high;simple
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;fresh;wet;thick;pure;quiet
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dark;fast;loud;wet;dangerous;long;cold
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;scary;fast;long;rare;big;dark
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;cold;big;wet;deep;quiet;wild
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;dangerous;old;high;rare;deep;wild;strong
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;wild;warm;quiet;high;fresh;soft
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,apple,red;big;fresh;sweet;small;green;juicy;hard;cheap;old
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,banana,yellow;long;sweet;fresh;small;ripe;soft;cheap;green;big
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,beef,fresh;red;tough;good;cheap;hot;cooked;lean;fatty;big
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,bread,fresh;soft;white;hot;cheap;old;hard;big;brown;simple
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,broccoli,green;fresh;big;small;healthy;raw;cooked;cheap;soft;tough
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,cheese,yellow;soft;fresh;hard;cheap;strong;melted;old;big;smooth
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,chicken,fresh;white;cooked;cheap;big;small;hot;tender;raw;tasty
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,egg,fresh;white;small;big;hard;soft;cooked;cheap;brown;raw
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,fish,fresh;big;small;silver;cooked;cheap;wild;tasty;raw;fast
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,pasta,hot;fresh;soft;cheap;long;dry;cooked;white;simple;tasty
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,rice,white;hot;fresh;cooked;cheap;dry;soft;long;brown;simple
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,soup,hot;fresh;thick;tasty;cold;simple;clear;cheap;spicy;creamy
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,artist,creative;young;talented;famous;good;old;new;busy;skilled;happy
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,athlete,strong;fast;young;good;fit;famous;tall;skilled;active;tough
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,chef,skilled;busy;good;young;famous;creative;old;quick;happy;clean
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,doctor,good;busy;skilled;old;young;helpful;famous;kind;smart;tired
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,engineer,smart;busy;skilled;young;good;old;creative;helpful;new;fast
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,farmer,hard-working;old;young;strong;busy;good;poor;skilled;simple;kind
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,lawyer,smart;busy;good;old;young;famous;skilled;helpful;tough;rich
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,musician,talented;young;good;famous;busy;creative;old;skilled;happy;new
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,scientist,smart;busy;good;young;famous;skilled;creative;old;helpful;new
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,soldier,strong;brave;young;tough;good;old;skilled;busy;loyal
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,teacher,good;kind;busy;young;old;helpful;smart;patient;skilled;new
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,writer,creative;good;young;famous;busy;old;skilled;happy;smart;new
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;thick;thin;cheap;colorful;good
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;long;high;metal;broken;simple;wide
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,drums,loud;big;new;old;wooden;shiny;small;cheap;simple;broken
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,earth,big;old;green;beautiful;rich;dry;wet;hot;cold;vast
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,flute,small;wooden;new;old;shiny;simple;cheap;broken;sweet;clear
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,key,small;metal;old;new;shiny;broken;simple;black;cheap;long
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,knife,sharp;small;metal;new;old;cheap;simple;broken;long;clean
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,lock,small;metal;old;new;strong;cheap;broken;simple;black;secure
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,moon,big;bright;full;old;new;white;cold;beautiful;high;dark
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,pen,small;black;new;old;cheap;broken;simple;smooth;colorful;good
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,sun,bright;hot;big;yellow;warm;high;old;beautiful;strong;clear
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,sword,sharp;long;metal;old;new;big;shiny;broken;simple;strong
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,cat,small;black;white;fast;lazy;old;young;cute;wild;soft
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,dog,big;small;friendly;old;young;fast;loyal;cute;wild;strong
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,dolphin,smart;fast;big;playful;wild;gray;cute;strong;deep;happy
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,elephant,big;gray;strong;old;wild;slow;heavy;smart;tall;kind
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,hamster,small;cute;fast;soft;young;old;brown;wild;simple;active
grok-3-mini,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,monkey,small;smart;fast;wild;brown;playful;young;old;strong;funny
