Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;bitter;raw;fierce;intense;sudden;wild;heavy
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,courage,brave;strong;bold;true;firm;steady;noble;clear;solid;pure
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,fear,strong;deep;cold;dark;heavy;sharp;sudden;real;wild;raw
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,freedom,true;pure;clear;big;wide;open;safe;full;fresh;eternal
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,happiness,bright;warm;sweet;deep;big;true;pure;clear;full;soft
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;raw;fierce;dark;heavy;cruel;sharp;wild
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;real;good;firm;strong;open;kind;plain
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,justice,true;real;firm;pure;clear;good;fair;strong;full;noble
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,knowledge,big;deep;true;clear;real;good;bright;pure;wide;solid
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,love,true;pure;deep;warm;sweet;full;real;kind;bright;strong
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,peace,true;calm;full;deep;clear;quiet;good;safe;warm;bright
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,wisdom,old;deep;true;good;pure;clear;real;firm;bright;solid
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,bell,small;big;clear;loud;soft;old;new;round;heavy;bright
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,candle,small;bright;soft;warm;clear;old;new;pure;round;light
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,carpet,soft;big;old;new;warm;clean;bright;smooth;thick;plain
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,coin,small;round;old;new;plain;bright;shiny;heavy;thin;pure
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,crown,big;strong;old;bright;pure;royal;fine;clear;heavy;bold
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,flag,big;bright;clear;pure;bold;strong;real;true;high;fine
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,mask,big;dark;old;new;plain;clear;deep;strong;light;thin
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,necklace,small;bright;clear;pure;fine;old;new;soft;good;bold
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,painting,big;bright;clear;old;new;fine;pure;calm;good;bold
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,ring,small;round;bright;clear;pure;old;new;fine;soft;strong
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,statue,big;strong;old;clear;pure;deep;tall;heavy;solid;true
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,vase,small;round;clear;pure;fine;old;new;deep;bright;soft
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,cloud,big;light;soft;white;dark;deep;high;clear;slow;calm
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,earthquake,big;strong;deep;hard;real;dark;raw;wild;heavy;fierce
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,fog,thick;low;dark;soft;deep;cold;heavy;pale;clear;slow
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;clear;deep;wild;quick;hot;real;sharp
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rain,soft;strong;cold;clear;real;deep;heavy;wet;slow;pure
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rainbow,bright;clear;big;pure;real;fine;soft;warm;true;bold
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,snow,white;soft;cold;light;pure;deep;clear;calm;slow;thick
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,storm,big;strong;wild;deep;dark;fast;cold;heavy;fierce;rough
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;dark;raw;wild;heavy;quick;fierce;clear
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,tide,high;low;strong;deep;clear;real;big;slow;pure;wild
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,volcano,big;hot;strong;deep;real;dark;fierce;wild;tall;heavy
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,wind,strong;fast;cool;deep;soft;real;pure;wild;high;good
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,apple,red;big;small;fresh;sweet;soft;good;new;bright;clean
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;soft;good;ripe;clear;rich
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,beef,red;raw;fresh;good;thick;rich;soft;tasty;lean;firm
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,bread,fresh;soft;good;warm;new;hard;light;thick;fine;tasty
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,broccoli,green;fresh;raw;good;small;bright;clear;crisp;fine;pure
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,cheese,yellow;white;fresh;good;soft;hard;real;thick;pure;fine
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,chicken,white;good;fresh;raw;soft;fine;tasty;light;warm;real
o3-mini,basic,1.0,ZH # Mandarin,B1,most frequent,Food Items,egg,small;round;white;fresh;raw;good;hard;clear;bright;pure
