Language,Question,Response,Count,Percentage
AR # Arabic,0,neutral,1,4.17
AR # Arabic,1,neutral,1,4.17
AR # Arabic,2,angry,1,4.17
AR # Arabic,3,neutral,1,4.17
AR # Arabic,4,angry,1,4.17
AR # Arabic,5,neutral,1,4.17
AR # Arabic,6,neutral,1,4.17
AR # Arabic,7,angry,1,4.17
AR # Arabic,192,neutral,1,4.17
AR # Arabic,193,neutral,1,4.17
AR # Arabic,194,angry,1,4.17
AR # Arabic,195,angry,1,4.17
AR # Arabic,196,angry,1,4.17
AR # Arabic,197,surprised,1,4.17
AR # Arabic,198,angry,1,4.17
AR # Arabic,199,angry,1,4.17
BN # Bengali,8,neutral,1,4.17
BN # Bengali,9,neutral,1,4.17
BN # Bengali,10,angry,1,4.17
BN # Bengali,11,neutral,1,4.17
BN # Bengali,12,angry,1,4.17
BN # Bengali,13,neutral,1,4.17
BN # Bengali,14,neutral,1,4.17
BN # Bengali,15,angry,1,4.17
BN # Bengali,200,neutral,1,4.17
BN # Bengali,201,neutral,1,4.17
BN # Bengali,202,angry,1,4.17
BN # Bengali,203,angry,1,4.17
BN # Bengali,204,angry,1,4.17
BN # Bengali,205,surprised,1,4.17
BN # Bengali,206,angry,1,4.17
BN # Bengali,207,angry,1,4.17
DE # German,16,neutral,1,4.17
DE # German,17,neutral,1,4.17
DE # German,18,angry,1,4.17
DE # German,19,neutral,1,4.17
DE # German,20,angry,1,4.17
DE # German,21,neutral,1,4.17
DE # German,22,neutral,1,4.17
DE # German,23,angry,1,4.17
DE # German,208,neutral,1,4.17
DE # German,209,neutral,1,4.17
DE # German,210,angry,1,4.17
DE # German,211,angry,1,4.17
DE # German,212,angry,1,4.17
DE # German,213,surprised,1,4.17
DE # German,214,angry,1,4.17
DE # German,215,angry,1,4.17
ES # Spanish,24,neutral,1,4.17
ES # Spanish,25,neutral,1,4.17
ES # Spanish,26,angry,1,4.17
ES # Spanish,27,neutral,1,4.17
ES # Spanish,28,angry,1,4.17
ES # Spanish,29,angry,1,4.17
ES # Spanish,30,neutral,1,4.17
ES # Spanish,31,angry,1,4.17
ES # Spanish,216,neutral,1,4.17
ES # Spanish,217,neutral,1,4.17
ES # Spanish,218,angry,1,4.17
ES # Spanish,219,angry,1,4.17
ES # Spanish,220,angry,1,4.17
ES # Spanish,221,surprised,1,4.17
ES # Spanish,222,angry,1,4.17
ES # Spanish,223,angry,1,4.17
FA # Persian,32,neutral,1,4.17
FA # Persian,33,neutral,1,4.17
FA # Persian,34,angry,1,4.17
FA # Persian,35,neutral,1,4.17
FA # Persian,36,angry,1,4.17
FA # Persian,37,angry,1,4.17
FA # Persian,38,neutral,1,4.17
FA # Persian,39,angry,1,4.17
FA # Persian,224,neutral,1,4.17
FA # Persian,225,neutral,1,4.17
FA # Persian,226,angry,1,4.17
FA # Persian,227,angry,1,4.17
FA # Persian,228,angry,1,4.17
FA # Persian,229,surprised,1,4.17
FA # Persian,230,angry,1,4.17
FA # Persian,231,angry,1,4.17
FR # French,40,neutral,1,4.17
FR # French,41,neutral,1,4.17
FR # French,42,angry,1,4.17
FR # French,43,neutral,1,4.17
FR # French,44,angry,1,4.17
FR # French,45,angry,1,4.17
FR # French,46,neutral,1,4.17
FR # French,47,angry,1,4.17
FR # French,232,neutral,1,4.17
FR # French,233,neutral,1,4.17
FR # French,234,angry,1,4.17
FR # French,235,angry,1,4.17
FR # French,236,angry,1,4.17
FR # French,237,surprised,1,4.17
FR # French,238,angry,1,4.17
FR # French,239,angry,1,4.17
GA # Irish,48,neutral,1,4.17
GA # Irish,49,neutral,1,4.17
GA # Irish,50,angry,1,4.17
GA # Irish,51,neutral,1,4.17
GA # Irish,52,angry,1,4.17
GA # Irish,53,angry,1,4.17
GA # Irish,54,neutral,1,4.17
GA # Irish,55,angry,1,4.17
GA # Irish,240,neutral,1,4.17
GA # Irish,241,neutral,1,4.17
GA # Irish,242,angry,1,4.17
GA # Irish,243,angry,1,4.17
GA # Irish,244,angry,1,4.17
GA # Irish,245,surprised,1,4.17
GA # Irish,246,angry,1,4.17
GA # Irish,247,angry,1,4.17
HE # Hebrew,56,neutral,1,4.17
HE # Hebrew,57,neutral,1,4.17
HE # Hebrew,58,angry,1,4.17
HE # Hebrew,59,neutral,1,4.17
HE # Hebrew,60,angry,1,4.17
HE # Hebrew,61,neutral,1,4.17
HE # Hebrew,62,neutral,1,4.17
HE # Hebrew,63,angry,1,4.17
HE # Hebrew,248,neutral,1,4.17
HE # Hebrew,249,neutral,1,4.17
HE # Hebrew,250,angry,1,4.17
HE # Hebrew,251,angry,1,4.17
HE # Hebrew,252,angry,1,4.17
HE # Hebrew,253,surprised,1,4.17
HE # Hebrew,254,angry,1,4.17
HE # Hebrew,255,angry,1,4.17
HI # Hindi,64,neutral,1,4.17
HI # Hindi,65,neutral,1,4.17
HI # Hindi,66,angry,1,4.17
HI # Hindi,67,neutral,1,4.17
HI # Hindi,68,angry,1,4.17
HI # Hindi,69,neutral,1,4.17
HI # Hindi,70,neutral,1,4.17
HI # Hindi,71,angry,1,4.17
HI # Hindi,256,neutral,1,4.17
HI # Hindi,257,neutral,1,4.17
HI # Hindi,258,angry,1,4.17
HI # Hindi,259,angry,1,4.17
HI # Hindi,260,angry,1,4.17
HI # Hindi,261,surprised,1,4.17
HI # Hindi,262,angry,1,4.17
HI # Hindi,263,angry,1,4.17
IT # Italian,72,neutral,1,4.17
