Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,strong;big;bad;fast;intense;sudden;uncontrolled;hot;blind;raw
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;bold;fearless;heroic;steady;quiet;personal
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,big;strong;deep;sudden;cold;dark;real;quick;hidden;natural
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,great;true;full;new;open;personal;strong;clear;basic;wide
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,great;true;big;warm;simple;real;deep;sudden;quiet;full
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;pure;cold;bitter;real;quick;dark;total
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,true;simple;clear;full;strong;real;basic;quiet;direct;pure
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;full;blind;real;quick;basic;pure
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;true;new;basic;real;strong;clear;full
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;great;warm;real;blind;quiet;full
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,true;quiet;full;deep;strong;real;warm;simple;clear;basic
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;old;strong;clear;real;quiet;full;simple
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;broken;shiny
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;white;red;soft;hot;broken;simple
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;red;blue;dirty;clean;thick;warm
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;gold;silver;round;heavy;rare;dirty
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,crown,big;gold;old;new;shiny;heavy;royal;broken;simple;red
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,flag,big;old;new;red;blue;national;torn;clean;simple;high
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;white;scary;funny;broken;simple
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;gold;silver;shiny;broken;simple;long
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;broken;simple;dark;bright
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;gold;silver;shiny;broken;simple;heavy
grok-3-mini,think-in-native,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;broken;tall;simple;strong
