Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,deep;raw;suppressed;blind;burning;controlled;simmering;sudden;cold;irrational
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,courage,unwavering;quiet;fierce;inner;moral;true;blind;surprising;selfless;steely
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,fear,crippling;irrational;overwhelming;consuming;nameless;deep-seated;instinctive;paralyzing;primal;abject
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,freedom,hard-won;cherished;basic;fundamental;qualified;personal;political;economic;ultimate;guaranteed
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,happiness,pure;fleeting;genuine;simple;conditional;childlike;contagious;utter;complete;profound
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,hate,blind;consuming;visceral;deep-seated;seething;bitter;irrational;poisonous;intense;unrelenting
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,honesty,brutal;radical;unwavering;refreshing;complete;basic;genuine;fundamental;professional;commendable
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,justice,blind;impartial;social;restorative;swift;true;equal;ultimate;fair;rough
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,knowledge,vast;specialized;practical;working;scientific;insider;extensive;esoteric;profound;limited
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,love,unconditional;deep;true;forbidden;requited;passionate;parental;brotherly;sisterly;enduring
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,peace,fragile;lasting;uneasy;inner;negotiated;sustainable;superficial;temporary;worldwide;cold
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,wisdom,ancient;practical;conventional;acquired;accumulated;divine;intuitive;innate;shared;profound
gemini-2.0-flash,english-monolingual,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,bell,loud;clear;silver;bronze;church;warning;bicycle;distant;ship's;dinner
