Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;sudden;bad;fierce;wild;quick;bitter;intense
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,courage,brave;great;strong;true;bold;fearless;steady;heroic;noble;firm
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,fear,big;cold;dark;sudden;strong;deep;bad;quick;wild;intense
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,freedom,great;true;full;new;strong;sweet;pure;open;wide;bright
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,happiness,great;true;full;pure;bright;warm;sweet;deep;strong;good
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;bitter;dark;wild;quick;fierce;cold;pure
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,honesty,true;good;full;pure;simple;strong;clear;bright;open;firm
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,justice,fair;true;good;strong;pure;clear;firm;open;great;right
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;true;strong;clear;full;pure;good;new
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;sweet;warm;great;full;bright;good
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,peace,true;deep;full;quiet;strong;pure;warm;bright;good;sweet
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;strong;clear;pure;good;full;wise;bright
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;shiny;gold;round;metal
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;soft;warm;white;red;tall
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;thick;thin;colorful;red;clean
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;gold;silver;round;heavy;light
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,crown,big;gold;silver;old;new;shiny;heavy;royal;beautiful;round
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;red;blue;national;high;clean
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;colorful;black;white;funny;scary;soft
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;shiny;gold;silver;beautiful;long;short
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;bright;dark;famous;good
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;shiny;gold;silver;beautiful;round;heavy
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;tall;stone;metal;famous;beautiful;strong
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;glass;clay;tall;short;colorful
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;high;low;soft;fluffy;fast;slow
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;bad;deep;fast;wild;dangerous;heavy;long
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,fog,thick;thin;white;gray;cold;wet;heavy;light;slow;deep
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;wild;sudden;hot;dangerous;big;quick;white
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;fast;slow;wet;soft;hard;long
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,rainbow,bright;colorful;beautiful;big;wide;high;clear;rare;full;soft
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;wet;fresh;hard;fast;thick
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,storm,big;strong;wild;fast;dangerous;wet;cold;dark;loud;sudden
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,thunder,loud;strong;deep;sudden;wild;scary;big;fast;hot;long
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;slow;big;small;wet;cold;deep
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,volcano,big;active;dangerous;hot;high;old;new;wild;strong;deep
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Environmental Phenomena,wind,strong;light;cold;warm;fast;slow;wild;fresh;dry;wet
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,apple,red;green;big;small;sweet;sour;fresh;ripe;hard;soft
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,banana,yellow;big;small;sweet;ripe;fresh;soft;long;curved;green
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,beef,red;fresh;cooked;raw;big;small;tasty;hard;soft;hot
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;big;small;tasty;warm
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,broccoli,green;fresh;big;small;hard;soft;tasty;raw;cooked;long
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;tasty;big;small;creamy
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,chicken,fresh;cooked;raw;big;small;tasty;white;brown;soft;hot
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,egg,white;brown;big;small;fresh;hard;soft;cooked;raw;round
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,fish,fresh;cooked;raw;big;small;tasty;silver;red;soft;wild
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,pasta,long;short;cooked;raw;soft;hard;tasty;white;hot;fresh
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,rice,white;brown;cooked;raw;soft;hard;fresh;hot;tasty;dry
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Food Items,soup,hot;cold;tasty;fresh;thick;thin;red;white;soft;smooth
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,artist,young;old;good;bad;famous;creative;skilled;happy;busy;talented
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,athlete,strong;fast;young;old;good;bad;fit;active;skilled;tall
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,chef,good;bad;young;old;skilled;busy;creative;happy;famous;tall
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,doctor,good;bad;young;old;skilled;busy;kind;helpful;smart;tall
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,engineer,smart;young;old;skilled;busy;good;bad;creative;helpful;tall
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,farmer,hard-working;old;young;strong;busy;good;bad;kind;tall;skilled
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,lawyer,smart;good;bad;young;old;busy;skilled;helpful;strict;tall
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,musician,talented;good;bad;young;old;skilled;busy;creative;happy;famous
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,scientist,smart;good;bad;young;old;skilled;busy;creative;helpful;curious
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,soldier,strong;brave;young;old;skilled;busy;good;bad;tall;fit
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,teacher,good;bad;young;old;skilled;kind;helpful;busy;smart;patient
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Human Roles,writer,good;bad;young;old;skilled;creative;busy;famous;smart;talented
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,book,old;new;big;small;good;bad;interesting;boring;thick;thin
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,bridge,old;new;big;long;strong;weak;high;low;metal;stone
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,drums,big;small;loud;soft;old;new;shiny;wooden;metal;fast
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,earth,big;old;green;blue;round;beautiful;rich;dry;wet;hard
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,flute,small;long;old;new;shiny;wooden;metal;soft;loud;sweet
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,key,small;big;old;new;shiny;metal;gold;silver;long;short
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,knife,sharp;dull;old;new;big;small;metal;wooden;long;short
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,lock,old;new;big;small;metal;strong;weak;shiny;broken;good
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,moon,big;small;bright;dark;full;new;old;white;round;high
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,pen,small;big;old;new;black;blue;red;shiny;cheap;good
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,sun,bright;hot;big;round;yellow;high;warm;strong;good;old
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Inanimate Objects,sword,sharp;long;old;new;big;heavy;light;metal;strong;shiny
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,cat,small;big;black;white;fast;slow;wild;tame;soft;old
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,dog,big;small;black;white;fast;slow;wild;tame;friendly;old
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,dolphin,big;small;fast;smart;wild;tame;gray;shiny;playful;good
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,elephant,big;strong;gray;wild;tame;old;young;smart;heavy;slow
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,hamster,small;fast;cute;wild;tame;brown;white;playful;soft;young
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,monkey,small;fast;wild;smart;brown;black;playful;young;old;loud
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,mouse,small;fast;gray;wild;tame;quiet;smart;young;old;soft
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,peacock,big;beautiful;colorful;wild;tame;blue;green;proud;loud;old
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,rabbit,small;fast;white;brown;wild;tame;soft;cute;young;playful
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,shark,big;fast;wild;dangerous;gray;strong;sharp;deep;old;scary
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,snake,long;small;wild;dangerous;green;brown;fast;slow;scary;smooth
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Neutral Animals,whale,big;huge;wild;gray;fast;slow;deep;strong;old;smart
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,city,big;small;busy;quiet;old;new;clean;dirty;modern;beautiful
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,desert,big;dry;hot;sandy;wide;empty;old;wild;yellow;hard
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,forest,big;green;thick;wild;dark;quiet;old;beautiful;wet;cool
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,island,small;big;green;sandy;beautiful;wild;quiet;remote;warm;old
grok-3-mini,basic,1.0,UR # Urdu,B1,most frequent,Places,lake,big;small;blue;green;deep;shallow;clear;dirty;cold;warm
