Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,anger,intense;sudden;deep;boiling;raw;blind;suppressed;righteous;simmering;explosive
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,courage,unwavering;bold;heroic;quiet;moral;innate;fearless;steadfast;admirable;indomitable
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,fear,overwhelming;primal;irrational;creeping;paralyzing;sudden;deep-seated;instinctive;nagging;intense
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,freedom,absolute;hard-won;personal;unrestricted;true;basic;newfound;limitless;cherished;democratic
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;radiant;inner;contagious;profound;everyday
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,hate,bitter;intense;deep-seated;irrational;burning;blind;festering;mutual;unspoken;destructive
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,honesty,brutal;unwavering;refreshing;absolute;straightforward;rare;heartfelt;transparent;genuine;uncompromising
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;restorative;equal;divine;impartial;delayed;fundamental
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;hidden;theoretical;specialized;profound;shared;innate;cutting-edge
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;platonic;forbidden;deep;romantic;selfless;fleeting;familial
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;absolute;negotiated;spiritual;temporary;profound
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;intuitive;hard-earned;spiritual;innate;worldly;insightful
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,bell,ringing;antique;clear;loud;small;golden;church;handheld;electronic;ornate
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;waxen;decorative;beeswax;emergency;colorful;slender;aromatic
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,carpet,plush;woven;patterned;thick;oriental;worn;colorful;soft;rolled;synthetic
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,coin,shiny;ancient;rare;gold;silver;counterfeit;foreign;minted;small;engraved
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,crown,royal;jeweled;golden;ceremonial;ancient;heavy;symbolic;ornate;simple;imperial
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;printed;large;striped;faded
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,mask,protective;decorative;facial;theatrical;anonymous;colorful;surgical;carved;full-face;mysterious
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,necklace,sparkling;pearl;gold;delicate;beaded;antique;simple;layered;elegant;handmade
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;oil;landscape;modern;framed;classic;colorful;portrait
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,ring,engagement;golden;diamond;simple;antique;silver;oversized;engraved;wedding;adjustable
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,statue,towering;bronze;ancient;marble;lifelike;commemorative;damaged;modern;heroic;stone
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,vase,decorative;ceramic;tall;floral;antique;glass;ornate;simple;colorful;fragile
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low-hanging;cumulus;billowing;gray
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,earthquake,devastating;minor;seismic;powerful;underground;sudden;destructive;shallow;frequent;tectonic
grok-3-mini,english-monolingual,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,fog,thick;dense;morning;eerie;rolling;light;coastal;persistent;chilly;mysterious
