Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,anger,hot;strong;sudden;deep;blind;quick;fierce;raw;intense;uncontrolled
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;bold;fearless;heroic;steady;quiet;personal
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,fear,great;sudden;deep;strong;cold;dark;real;hidden;old;quiet
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,freedom,great;new;true;full;personal;strong;quick;easy;simple;open
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,happiness,great;true;full;real;simple;warm;bright;quiet;deep;strong
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;bitter;old;quick;cold;fierce;real;dark
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,honesty,true;full;simple;real;strong;quiet;great;clear;direct;fair
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,justice,fair;true;strong;quick;full;blind;great;clear;simple;real
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,knowledge,great;deep;true;new;strong;wide;simple;real;clear;full
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,love,true;deep;strong;great;pure;warm;real;quiet;simple;blind
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,peace,true;full;quiet;deep;strong;simple;warm;real;great;long
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;old;simple;strong;clear;quiet;real;wide
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;metal;broken;shiny;round;heavy
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;soft;warm;colored;tall;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;colored;thick;clean;dirty;warm
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,coin,old;new;small;big;metal;shiny;broken;rare;gold;heavy
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;gold;heavy;shiny;royal;broken;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colored;high;strong;clean;dirty;national
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;colored;scary;funny;soft;hard;broken
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;shiny;gold;colored;heavy;simple;broken
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;colored;beautiful;simple;bright;dark;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,ring,big;small;old;new;gold;shiny;heavy;simple;broken;colored
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;tall;broken;clean;dirty;strong
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;colored;broken;tall;simple;clean;glass
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;high;soft;moving;thick;light;gray
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;deep;dangerous;real;old;quick;violent;rare
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;deep;quiet;gray;soft;wet;dark
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;sudden;dangerous;white;quick;real;wild;hot
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;quick;long;wet;soft;dark;steady
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,rainbow,bright;colorful;beautiful;big;high;clear;wet;rare;full;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;fresh;heavy;light;wet;quiet;pure
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dark;quick;dangerous;loud;cold;wet;long
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;dangerous;real;wild;dark;quick;heavy
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;deep;cold;wet;wild;quiet;full
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,volcano,big;old;active;dangerous;hot;deep;wild;strong;rare;tall
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Environmental Phenomena,wind,strong;cold;hot;fast;light;wild;quiet;wet;dry;fresh
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;hard;old;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,banana,yellow;green;big;small;fresh;sweet;soft;long;ripe;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,beef,fresh;cooked;red;tough;soft;big;hot;cold;dry;fatty
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;hot;cold;big;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,broccoli,green;fresh;big;small;cooked;raw;healthy;soft;hard;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;tasty;cold;big;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,chicken,fresh;cooked;white;big;small;hot;cold;soft;tough;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,egg,fresh;old;white;brown;big;small;cooked;raw;soft;hard
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,fish,fresh;cooked;big;small;silver;cold;tasty;wild;farmed;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,pasta,cooked;dry;hot;cold;soft;long;short;simple;tasty;yellow
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,rice,white;cooked;dry;hot;cold;soft;long;short;clean;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Food Items,soup,hot;cold;tasty;thick;thin;fresh;simple;vegetable;meat;clear
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,artist,creative;young;old;talented;famous;quiet;busy;skilled;simple;happy
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,athlete,strong;fast;young;old;fit;skilled;famous;active;tall;quick
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,chef,great;young;old;skilled;busy;creative;famous;quick;clean;happy
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,doctor,good;young;old;skilled;busy;kind;famous;careful;smart;helpful
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,engineer,skilled;young;old;busy;creative;smart;careful;famous;strong;quick
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,farmer,hard-working;young;old;busy;strong;simple;kind;poor;rich;helpful
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,lawyer,smart;young;old;busy;skilled;careful;famous;honest;strong;quick
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,musician,talented;young;old;famous;busy;creative;happy;skilled;quiet;good
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,scientist,smart;young;old;busy;creative;careful;famous;skilled;curious;good
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,soldier,strong;brave;young;old;trained;skilled;loyal;quick;tough
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,teacher,good;young;old;kind;busy;skilled;helpful;patient;smart;creative
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Human Roles,writer,creative;young;old;famous;busy;skilled;quiet;good;smart;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,book,old;new;big;small;thick;thin;interesting;boring;colored;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;long;high;wooden;stone;broken;safe
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,drums,big;small;loud;old;new;wooden;shiny;broken;simple;heavy
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,earth,big;old;green;blue;beautiful;round;solid;wet;dry;rich
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,flute,small;old;new;wooden;shiny;light;simple;broken;sweet;long
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,key,small;old;new;metal;shiny;broken;simple;heavy;black;silver
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,knife,sharp;old;new;big;small;metal;shiny;broken;simple;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,lock,old;new;big;small;metal;strong;broken;simple;shiny;heavy
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,moon,big;bright;old;full;new;white;round;cold;quiet;beautiful
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,pen,small;old;new;black;blue;cheap;expensive;broken;simple;shiny
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,sun,big;bright;hot;yellow;warm;strong;old;clear;beautiful;high
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Inanimate Objects,sword,sharp;old;new;big;small;metal;heavy;shiny;broken;strong
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,cat,small;black;white;wild;tame;old;young;lazy;fast;cute
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,dog,big;small;old;young;friendly;wild;fast;strong;loyal;smart
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,dolphin,big;small;smart;fast;wild;friendly;gray;playful;strong;deep
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,elephant,big;gray;strong;wild;tame;old;young;heavy;smart;slow
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,hamster,small;cute;fast;wild;tame;brown;white;young;old;active
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,monkey,small;wild;tame;smart;fast;brown;playful;young;old;noisy
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,mouse,small;gray;fast;wild;tame;quiet;young;old;smart;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,peacock,big;colorful;wild;beautiful;proud;old;young;noisy;strong;fast
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,rabbit,small;white;fast;wild;tame;cute;young;old;soft;quiet
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,shark,big;gray;fast;wild;dangerous;strong;sharp;old;young;deep
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,snake,long;green;wild;dangerous;fast;quiet;old;young;smooth;strong
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Neutral Animals,whale,big;gray;wild;strong;deep;old;young;fast;smart;gentle
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,city,big;old;new;busy;clean;dirty;beautiful;noisy;rich;poor
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,desert,big;hot;dry;sandy;wild;empty;yellow;quiet;old;dangerous
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,forest,big;green;wild;dark;quiet;deep;old;beautiful;wet;dry
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,island,small;big;green;beautiful;wild;quiet;old;sunny;wet;empty
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,lake,big;small;blue;deep;clear;quiet;cold;beautiful;wet;full
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,mountain,big;high;old;green;rocky;beautiful;cold;wild;strong;steep
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,ocean,big;deep;blue;cold;wild;beautiful;wet;strong;quiet;full
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,plain,big;flat;green;dry;empty;wild;beautiful;quiet;open;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,plateau,high;flat;big;rocky;dry;wild;beautiful;quiet;old;green
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,river,long;deep;blue;fast;quiet;beautiful;wet;wild;full;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,valley,deep;green;beautiful;quiet;wild;wide;old;sunny;wet;empty
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Places,village,small;old;quiet;simple;green;beautiful;poor;rich;clean;dirty
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Plants,cactus,big;small;green;spiky;dry;wild;old;strong;simple;tall
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Plants,eggplant,big;small;purple;green;fresh;soft;hard;raw;cooked;shiny
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Plants,flower,big;small;colorful;beautiful;fresh;wild;old;soft;sweet;red
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Plants,grass,green;tall;short;wet;dry;soft;wild;fresh;thick;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Plants,lettuce,green;fresh;big;small;soft;raw;cooked;wet;clean;simple
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Plants,mushroom,small;big;white;brown;fresh;soft;wild;cooked;raw;wet
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Plants,onion,big;small;white;red;fresh;strong;raw;cooked;dry;clean
grok-3-mini,basic,1.0,HI # Hindi,B1,most frequent,Plants,pepper,red;green;big;small;fresh;hot;sweet;raw;cooked;shiny
