Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;fierce;bitter;wild;dark;loud;sharp
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,courage,brave;bold;strong;fearless;true;great;pure;quiet;steady;firm
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,fear,deep;cold;dark;big;sudden;real;hidden;quiet;sharp;heavy
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;new;hard;precious;bright;clear;wide;strong
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,happiness,pure;bright;warm;sweet;big;true;simple;quiet;deep;real
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;cold;dark;fierce;wild;hidden;sharp;heavy
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;simple;strong;real;quiet;firm;bright;good
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,justice,fair;strong;true;clear;pure;strict;hard;bright;real;good
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;strong;new;true;big;important
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,love,true;deep;sweet;warm;strong;pure;bright;soft;real;kind
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,peace,quiet;calm;sweet;true;deep;pure;bright;soft;warm;real
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;quiet;strong;pure;old;useful;bright
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;heavy;golden;bright;sweet;strong
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;long;quiet;simple;old;glowing
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;clean;beautiful;heavy;colorful
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;heavy;golden;silver;round;dirty;rare;cold
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;old;beautiful;royal;big;bright;rich;strong
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,flag,bright;colorful;big;old;proud;strong;national;red;white;waving
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,mask,dark;scary;old;strange;black;white;funny;heavy;hidden;wooden
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;golden;silver;expensive;old;delicate;red;bright
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;bright;dark;expensive;strange;clear
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,ring,golden;shiny;small;beautiful;expensive;silver;old;round;bright;delicate
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,statue,old;tall;big;heavy;beautiful;white;stone;famous;strong;cold
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Cultural Artifacts,vase,old;beautiful;delicate;tall;white;expensive;small;colorful;fragile;elegant
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,cloud,white;big;fluffy;dark;heavy;soft;high;gray;moving;thick
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;big;dangerous;loud;deep;wild;terrible;powerful
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;gray;quiet;wet;dark;mysterious;soft
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;dangerous;sharp;white;strong;sudden;scary;powerful
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rain,heavy;cold;wet;soft;quiet;dark;strong;long;light;gray
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;big;clear;magical;rare;soft;happy;wonderful
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;thick;quiet;beautiful;wet;light;pure
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;heavy;scary;wild;dangerous;fast;cold;big
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;scary;sudden;powerful;dark;heavy;wild;big
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,tide,high;strong;low;fast;cold;wet;dangerous;quiet;powerful;big
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,volcano,hot;dangerous;big;active;red;dark;powerful;tall;scary;old
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;loud;soft;warm;wild;sharp;quiet;heavy
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,apple,red;sweet;fresh;round;big;green;juicy;hard;shiny;delicious
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,banana,yellow;sweet;long;soft;fresh;big;ripe;curved;healthy;tasty
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,beef,red;fresh;tender;juicy;thick;expensive;raw;cooked;heavy;delicious
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,bread,fresh;soft;warm;brown;white;thick;hard;tasty;big;crispy
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;raw;cooked;bitter;tasty;thick
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,cheese,yellow;soft;hard;strong;creamy;white;tasty;old;expensive;delicious
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,chicken,fresh;white;tender;juicy;cooked;raw;big;small;tasty;soft
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,egg,white;fresh;small;round;hard;soft;yellow;raw;cooked;fragile
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,fish,fresh;silver;big;small;raw;cooked;wet;shiny;tasty;cold
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,pasta,yellow;soft;long;short;cooked;tasty;warm;fresh;hard;delicious
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,rice,white;soft;sticky;long;short;cooked;warm;fresh;tasty;simple
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Food Items,soup,hot;warm;tasty;thick;clear;salty;fresh;light;creamy;delicious
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;poor;rich;quiet;strange;passionate
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;tall;powerful;famous;hardworking;active;brave
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,chef,skilled;famous;creative;busy;young;old;friendly;strict;talented;passionate
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,doctor,kind;smart;busy;young;old;helpful;strict;patient;famous;gentle
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,engineer,smart;creative;hardworking;young;skilled;busy;clever;serious;talented;innovative
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,farmer,hardworking;strong;kind;poor;old;busy;simple;friendly;patient;tough
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,lawyer,smart;strict;busy;famous;rich;young;old;serious;clever;strong
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,musician,talented;famous;young;passionate;creative;loud;quiet;poor;rich;skilled
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,scientist,smart;curious;busy;young;old;famous;serious;clever;patient;hardworking
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,soldier,brave;strong;young;tough;loyal;tall;serious;quiet;fearless;proud
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,teacher,kind;strict;patient;smart;young;old;helpful;friendly;serious;wise
grok-3,basic,1.0,JA # Japanese,B1,most frequent,Human Roles,writer,creative;famous;quiet;young;old;talented;poor;rich;passionate;clever
