Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,anger,strong;hot;big;sudden;deep;bad;quick;long;quiet;old
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,courage,strong;great;true;bold;big;small;new;real;false;quick
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,fear,great;deep;sudden;cold;big;small;quick;long;dark;strong
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,freedom,great;true;full;big;small;new;real;quick;easy;open
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,happiness,great;true;big;small;new;real;quick;easy;full;bright
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,hate,strong;deep;big;small;quick;long;bad;real;false;hot
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,honesty,true;great;full;big;small;new;real;quick;easy;simple
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,justice,true;great;fair;big;small;new;real;quick;easy;strong
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,knowledge,great;deep;big;small;new;real;quick;easy;full;wide
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,love,great;true;deep;big;small;new;real;quick;easy;strong
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,peace,great;true;full;big;small;new;real;quick;easy;quiet
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;big;small;new;real;quick;easy;old
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;quiet;shiny;dirty;round;heavy
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,candle,big;small;old;new;bright;dark;hot;cold;white;long
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;hard;clean;dirty;red;blue
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,coin,big;small;old;new;shiny;dirty;gold;silver;round;heavy
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,crown,big;small;old;new;shiny;dirty;gold;heavy;royal;bright
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;plain;red;blue;national;high
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,mask,big;small;old;new;black;white;scary;funny;plastic;soft
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,necklace,big;small;old;new;shiny;dirty;gold;silver;beautiful;long
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;ugly;colorful;dark;famous;simple
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,ring,big;small;old;new;shiny;dirty;gold;silver;round;heavy
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;tall;short;stone;metal;beautiful;strong
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;ugly;glass;clay;colorful;tall
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,cloud,big;small;white;gray;high;low;soft;dark;moving;light
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,earthquake,big;small;strong;weak;sudden;long;bad;rare;deep;fast
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,fog,thick;thin;white;gray;cold;wet;heavy;light;early;late
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;weak;sudden;loud;dangerous;rare;white;high
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;long;short;wet;soft;steady;hard
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rainbow,bright;colorful;beautiful;big;small;rare;clear;wet;high;full
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;wet;heavy;fresh;new;old
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,storm,strong;big;loud;wet;cold;fast;long;dangerous;dark;sudden
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,thunder,loud;strong;deep;sudden;long;scary;rare;big;fast;heavy
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,tide,high;low;strong;weak;fast;slow;big;small;wet;cold
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,volcano,big;small;active;old;hot;dangerous;high;deep;black;red
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,wind,strong;weak;fast;slow;cold;warm;loud;quiet;dry;wet
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,apple,red;green;big;small;sweet;sour;fresh;ripe;juicy;hard
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,banana,yellow;big;small;sweet;soft;hard;fresh;ripe;long;curved
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,beef,red;fresh;cooked;raw;big;small;tough;soft;hot;cold
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;big;small;warm;dry
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,broccoli,green;fresh;big;small;hard;soft;raw;cooked;healthy;bitter
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;strong;mild;creamy;dry
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,chicken,white;brown;big;small;fresh;cooked;raw;tender;juicy;hot
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,egg,white;brown;big;small;fresh;old;hard;soft;cooked;raw
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,fish,big;small;fresh;cooked;raw;silver;colorful;fast;slippery;tasty
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,pasta,long;short;soft;hard;cooked;raw;white;yellow;hot;dry
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,rice,white;brown;cooked;raw;soft;hard;hot;cold;dry;fresh
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Food Items,soup,hot;cold;thick;thin;tasty;salty;fresh;old;red;white
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,artist,creative;talented;young;old;famous;unknown;good;bad;busy;happy
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,athlete,strong;fast;young;old;fit;skilled;good;bad;tall;short
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,chef,skilled;busy;young;old;good;bad;creative;famous;clean;quick
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,doctor,skilled;busy;young;old;good;bad;kind;strict;smart;helpful
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,engineer,skilled;smart;young;old;good;bad;busy;creative;careful;strong
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,farmer,hard-working;strong;young;old;good;bad;busy;poor;rich;happy
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,lawyer,smart;busy;young;old;good;bad;strict;helpful;famous;careful
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,musician,talented;young;old;good;bad;famous;creative;busy;happy;skilled
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,scientist,smart;curious;young;old;good;bad;busy;creative;careful;famous
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,soldier,strong;brave;young;old;good;bad;trained;loyal;fit
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,teacher,kind;smart;young;old;good;bad;patient;strict;helpful;busy
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Human Roles,writer,creative;smart;young;old;good;bad;famous;busy;happy;skilled
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Inanimate Objects,book,old;new;big;small;thick;thin;interesting;boring;colorful;heavy
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Inanimate Objects,bridge,big;small;old;new;strong;weak;high;long;metal;wooden
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Inanimate Objects,drums,big;small;loud;quiet;old;new;wooden;metal;shiny;heavy
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;old;new;wet;dry;hot;cold
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Inanimate Objects,flute,long;short;old;new;wooden;metal;shiny;smooth;loud;soft
grok-3-mini,basic,1.0,BN # Bengali,B1,most frequent,Inanimate Objects,key,small;old;new;metal;shiny;rusty;long;short;important;simple
