language1,language2,entropy1,entropy2,entropy_difference,entropy_effect_size,entropy_effect_interpretation,diversity1,diversity2,diversity_difference,diversity_effect_size,diversity_effect_interpretation,family1,family2,same_family
AR # Arabic,BN # Bengali,5.7496407703899175,5.849394436317009,0.0997536659270919,0.017053674019271714,Negligible,0.4097222222222222,0.5224719101123596,0.1127496878901374,0.2158004778972522,Small,Semitic,Indo-European-Bengali,False
AR # Arabic,DE # German,5.7496407703899175,5.8024854957625704,0.052844725372652945,0.009107256780089206,Negligible,0.4097222222222222,0.4166666666666667,0.006944444444444475,0.01666666666666674,Negligible,Semitic,Indo-European,False
AR # Arabic,ES # Spanish,5.7496407703899175,5.79540528751341,0.04576451712349261,0.007896689679683893,Negligible,0.4097222222222222,0.4097222222222222,0.0,0.0,Negligible,Semitic,Indo-European,False
AR # Arabic,FA # Persian,5.7496407703899175,5.896303377015714,0.14666260662579678,0.024873653414357873,Negligible,0.4097222222222222,0.4444444444444444,0.03472222222222221,0.07812499999999997,Negligible,Semitic,Indo-European,False
AR # Arabic,FR # French,5.7496407703899175,5.8058898360103,0.05624906562038223,0.009688276424313892,Negligible,0.4097222222222222,0.4166666666666667,0.006944444444444475,0.01666666666666674,Negligible,Semitic,Indo-European,False
AR # Arabic,GA # Irish,5.7496407703899175,5.802645825934478,0.0530050555445607,0.00913463567044859,Negligible,0.4097222222222222,0.4166666666666667,0.006944444444444475,0.01666666666666674,Negligible,Semitic,Indo-European,False
AR # Arabic,HE # Hebrew,5.7496407703899175,5.840747821892969,0.09110705150305165,0.01559852510008284,Negligible,0.4097222222222222,0.4305555555555556,0.02083333333333337,0.04838709677419363,Negligible,Semitic,Semitic,True
AR # Arabic,HI # Hindi,5.7496407703899175,5.857347540676223,0.10770677028630526,0.018388318182989475,Negligible,0.4097222222222222,0.4375,0.02777777777777779,0.06349206349206352,Negligible,Semitic,Indo-European,False
AR # Arabic,IT # Italian,5.7496407703899175,5.80064756183399,0.051006791444072164,0.008793292628167424,Negligible,0.4097222222222222,0.4097222222222222,0.0,0.0,Negligible,Semitic,Indo-European,False
AR # Arabic,JA # Japanese,5.7496407703899175,5.757142961383011,0.007502190993093905,0.0013031100744616022,Negligible,0.4097222222222222,0.432258064516129,0.022535842293906816,0.05213515754560532,Negligible,Semitic,Japonic,False
AR # Arabic,KO # Korean,5.7496407703899175,5.79540528751341,0.04576451712349261,0.007896689679683893,Negligible,0.4097222222222222,0.4068965517241379,0.0028256704980842984,0.006896551724137949,Negligible,Semitic,Koreanic,False
AR # Arabic,LV # Latvian,5.7496407703899175,5.774014207775696,0.024373437385778907,0.00422122920185335,Negligible,0.4097222222222222,0.4166666666666667,0.006944444444444475,0.01666666666666674,Negligible,Semitic,Indo-European,False
AR # Arabic,PL # Polish,5.7496407703899175,5.852105266355643,0.10246449596572571,0.017508997412402107,Negligible,0.4097222222222222,0.4375,0.02777777777777779,0.06349206349206352,Negligible,Semitic,Indo-European,False
AR # Arabic,PS # Pashto,5.7496407703899175,5.887656762591673,0.13801599220175564,0.023441582579790662,Negligible,0.4097222222222222,0.4444444444444444,0.03472222222222221,0.07812499999999997,Negligible,Semitic,Indo-European,False
AR # Arabic,PT # Portuguese,5.7496407703899175,5.833667613643809,0.08402684325389131,0.014403776289442501,Negligible,0.4097222222222222,0.4236111111111111,0.013888888888888895,0.032786885245901655,Negligible,Semitic,Indo-European,False
AR # Arabic,RU # Russian,5.7496407703899175,5.891061102839403,0.14142033244948582,0.0240059184552208,Negligible,0.4097222222222222,0.4444444444444444,0.03472222222222221,0.07812499999999997,Negligible,Semitic,Indo-European,False
AR # Arabic,SQ # Albanian,5.7496407703899175,5.788596606873682,0.03895583648376455,0.006729754918058438,Negligible,0.4097222222222222,0.4166666666666667,0.006944444444444475,0.01666666666666674,Negligible,Semitic,Indo-European-Albanian,False
AR # Arabic,SW # Swahili,5.7496407703899175,5.81637438450719,0.06673361411727274,0.011473404169963338,Negligible,0.4097222222222222,0.4236111111111111,0.013888888888888895,0.032786885245901655,Negligible,Semitic,Niger-Congo,False
AR # Arabic,TH # Thai,5.7496407703899175,5.78151639876879,0.03187562837887281,0.005513368151245048,Negligible,0.4097222222222222,0.4027777777777778,0.00694444444444442,0.016949152542372822,Negligible,Semitic,Tai-Kadai,False
AR # Arabic,TR # Turkish,5.7496407703899175,5.863283325205899,0.11364255481598118,0.019382067778890837,Negligible,0.4097222222222222,0.4375,0.02777777777777779,0.06349206349206352,Negligible,Semitic,Turkic,False
AR # Arabic,UR # Urdu,5.7496407703899175,5.9536968662113114,0.20405609582139395,0.03427384705786119,Negligible,0.4097222222222222,0.4722222222222222,0.0625,0.1323529411764706,Small,Semitic,Indo-European,False
AR # Arabic,VI # Vietnamese,5.7496407703899175,5.792000947265681,0.04236017687576332,0.007313565253431276,Negligible,0.4097222222222222,0.4097222222222222,0.0,0.0,Negligible,Semitic,Austro-Asiatic,False
AR # Arabic,ZH # Mandarin,5.7496407703899175,5.79540528751341,0.04576451712349261,0.007896689679683893,Negligible,0.4097222222222222,0.4097222222222222,0.0,0.0,Negligible,Semitic,Sino-Tibetan,False
BN # Bengali,DE # German,5.849394436317009,5.8024854957625704,0.04690894055443895,0.008019452451897656,Negligible,0.5224719101123596,0.4166666666666667,0.10580524344569292,0.20250896057347675,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,ES # Spanish,5.849394436317009,5.79540528751341,0.053989148803599285,0.009229869756841497,Negligible,0.5224719101123596,0.4097222222222222,0.1127496878901374,0.2158004778972522,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,FA # Persian,5.849394436317009,5.896303377015714,0.04690894069870488,0.007955652499421904,Negligible,0.5224719101123596,0.4444444444444444,0.07802746566791519,0.14934289127837527,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,FR # French,5.849394436317009,5.8058898360103,0.04350460030670966,0.0074374537023189245,Negligible,0.5224719101123596,0.4166666666666667,0.10580524344569292,0.20250896057347675,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,GA # Irish,5.849394436317009,5.802645825934478,0.0467486103825312,0.007992042747584964,Negligible,0.5224719101123596,0.4166666666666667,0.10580524344569292,0.20250896057347675,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,HE # Hebrew,5.849394436317009,5.840747821892969,0.008646614424040244,0.0014782067645081678,Negligible,0.5224719101123596,0.4305555555555556,0.09191635455680403,0.17592592592592596,Small,Indo-European-Bengali,Semitic,False
BN # Bengali,HI # Hindi,5.849394436317009,5.857347540676223,0.00795310435921337,0.0013577996360952136,Negligible,0.5224719101123596,0.4375,0.0849719101123596,0.16263440860215062,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,IT # Italian,5.849394436317009,5.80064756183399,0.04874687448301973,0.00833366171724821,Negligible,0.5224719101123596,0.4097222222222222,0.1127496878901374,0.2158004778972522,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,JA # Japanese,5.849394436317009,5.757142961383011,0.09225147493399799,0.015771115444230988,Negligible,0.5224719101123596,0.432258064516129,0.09021384559623058,0.17266736038848432,Small,Indo-European-Bengali,Japonic,False
BN # Bengali,KO # Korean,5.849394436317009,5.79540528751341,0.053989148803599285,0.009229869756841497,Negligible,0.5224719101123596,0.4068965517241379,0.1155753583882217,0.22120875046347807,Small,Indo-European-Bengali,Koreanic,False
BN # Bengali,LV # Latvian,5.849394436317009,5.774014207775696,0.07538022854131299,0.012886843135983681,Negligible,0.5224719101123596,0.4166666666666667,0.10580524344569292,0.20250896057347675,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,PL # Polish,5.849394436317009,5.852105266355643,0.0027108300386338158,0.000463223047989013,Negligible,0.5224719101123596,0.4375,0.0849719101123596,0.16263440860215062,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,PS # Pashto,5.849394436317009,5.887656762591673,0.03826232627466375,0.0064987358838189384,Negligible,0.5224719101123596,0.4444444444444444,0.07802746566791519,0.14934289127837527,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,PT # Portuguese,5.849394436317009,5.833667613643809,0.01572682267320058,0.0026886240694520094,Negligible,0.5224719101123596,0.4236111111111111,0.0988607990012485,0.1892174432497014,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,RU # Russian,5.849394436317009,5.891061102839403,0.041666666522393925,0.007072862731352628,Negligible,0.5224719101123596,0.4444444444444444,0.07802746566791519,0.14934289127837527,Small,Indo-European-Bengali,Indo-European,False
BN # Bengali,SQ # Albanian,5.849394436317009,5.788596606873682,0.060797829443327345,0.010393867280662964,Negligible,0.5224719101123596,0.4166666666666667,0.10580524344569292,0.20250896057347675,Small,Indo-European-Bengali,Indo-European-Albanian,False
BN # Bengali,SW # Swahili,5.849394436317009,5.81637438450719,0.03302005180981915,0.0056450376477962,Negligible,0.5224719101123596,0.4236111111111111,0.0988607990012485,0.1892174432497014,Small,Indo-European-Bengali,Niger-Congo,False
BN # Bengali,TH # Thai,5.849394436317009,5.78151639876879,0.06787803754821908,0.011604284560942953,Negligible,0.5224719101123596,0.4027777777777778,0.11969413233458182,0.22909199522102755,Small,Indo-European-Bengali,Tai-Kadai,False
BN # Bengali,TR # Turkish,5.849394436317009,5.863283325205899,0.013888888888889284,0.002368790337861006,Negligible,0.5224719101123596,0.4375,0.0849719101123596,0.16263440860215062,Small,Indo-European-Bengali,Turkic,False
BN # Bengali,UR # Urdu,5.849394436317009,5.9536968662113114,0.10430242989430205,0.017518935249499164,Negligible,0.5224719101123596,0.4722222222222222,0.050249687890137396,0.09617682198327371,Negligible,Indo-European-Bengali,Indo-European,False
BN # Bengali,VI # Vietnamese,5.849394436317009,5.792000947265681,0.05739348905132857,0.009811868506420228,Negligible,0.5224719101123596,0.4097222222222222,0.1127496878901374,0.2158004778972522,Small,Indo-European-Bengali,Austro-Asiatic,False
BN # Bengali,ZH # Mandarin,5.849394436317009,5.79540528751341,0.053989148803599285,0.009229869756841497,Negligible,0.5224719101123596,0.4097222222222222,0.1127496878901374,0.2158004778972522,Small,Indo-European-Bengali,Sino-Tibetan,False
DE # German,ES # Spanish,5.8024854957625704,5.79540528751341,0.007080208249160336,0.0012202026621748316,Negligible,0.4166666666666667,0.4097222222222222,0.006944444444444475,0.01666666666666674,Negligible,Indo-European,Indo-European,True
DE # German,FA # Persian,5.8024854957625704,5.896303377015714,0.09381788125314383,0.015911304974376626,Negligible,0.4166666666666667,0.4444444444444444,0.027777777777777735,0.0624999999999999,Negligible,Indo-European,Indo-European,True
DE # German,FR # French,5.8024854957625704,5.8058898360103,0.0034043402477292872,0.0005863597732451443,Negligible,0.4166666666666667,0.4166666666666667,0.0,0.0,Negligible,Indo-European,Indo-European,True
DE # German,GA # Irish,5.8024854957625704,5.802645825934478,0.00016033017190775212,2.7630528679032723e-05,Negligible,0.4166666666666667,0.4166666666666667,0.0,0.0,Negligible,Indo-European,Indo-European,True
DE # German,HE # Hebrew,5.8024854957625704,5.840747821892969,0.038262326130398705,0.006550929315417353,Negligible,0.4166666666666667,0.4305555555555556,0.013888888888888895,0.032258064516129045,Negligible,Indo-European,Semitic,False
DE # German,HI # Hindi,5.8024854957625704,5.857347540676223,0.05486204491365232,0.009366363278372,Negligible,0.4166666666666667,0.4375,0.020833333333333315,0.047619047619047575,Negligible,Indo-European,Indo-European,True
DE # German,IT # Italian,5.8024854957625704,5.80064756183399,0.0018379339285807816,0.00031674942228170755,Negligible,0.4166666666666667,0.4097222222222222,0.006944444444444475,0.01666666666666674,Negligible,Indo-European,Indo-European,True
DE # German,JA # Japanese,5.8024854957625704,5.757142961383011,0.04534253437955904,0.007814329637303137,Negligible,0.4166666666666667,0.432258064516129,0.01559139784946234,0.03606965174129347,Negligible,Indo-European,Japonic,False
DE # German,KO # Korean,5.8024854957625704,5.79540528751341,0.007080208249160336,0.0012202026621748316,Negligible,0.4166666666666667,0.4068965517241379,0.009770114942528774,0.023448275862069056,Negligible,Indo-European,Koreanic,False
DE # German,LV # Latvian,5.8024854957625704,5.774014207775696,0.02847128798687404,0.004906740052631929,Negligible,0.4166666666666667,0.4166666666666667,0.0,0.0,Negligible,Indo-European,Indo-European,True
DE # German,PL # Polish,5.8024854957625704,5.852105266355643,0.049619770593072765,0.008478960704678698,Negligible,0.4166666666666667,0.4375,0.020833333333333315,0.047619047619047575,Negligible,Indo-European,Indo-European,True
DE # German,PS # Pashto,5.8024854957625704,5.887656762591673,0.0851712668291027,0.014466072032298868,Negligible,0.4166666666666667,0.4444444444444444,0.027777777777777735,0.0624999999999999,Negligible,Indo-European,Indo-European,True
DE # German,PT # Portuguese,5.8024854957625704,5.833667613643809,0.03118211788123837,0.005345199614785986,Negligible,0.4166666666666667,0.4236111111111111,0.00694444444444442,0.01639344262295076,Negligible,Indo-European,Indo-European,True
DE # German,RU # Russian,5.8024854957625704,5.891061102839403,0.08857560707683287,0.015035594696877402,Negligible,0.4166666666666667,0.4444444444444444,0.027777777777777735,0.0624999999999999,Negligible,Indo-European,Indo-European,True
DE # German,SQ # Albanian,5.8024854957625704,5.788596606873682,0.013888888888888395,0.00239361027253427,Negligible,0.4166666666666667,0.4166666666666667,0.0,0.0,Negligible,Indo-European,Indo-European-Albanian,False
DE # German,SW # Swahili,5.8024854957625704,5.81637438450719,0.013888888744619798,0.0023878945587847635,Negligible,0.4166666666666667,0.4236111111111111,0.00694444444444442,0.01639344262295076,Negligible,Indo-European,Niger-Congo,False
DE # German,TH # Thai,5.8024854957625704,5.78151639876879,0.020969096993780134,0.00361381290984586,Negligible,0.4166666666666667,0.4027777777777778,0.013888888888888895,0.03333333333333335,Negligible,Indo-European,Tai-Kadai,False
DE # German,TR # Turkish,5.8024854957625704,5.863283325205899,0.06079782944332823,0.01036924638827567,Negligible,0.4166666666666667,0.4375,0.020833333333333315,0.047619047619047575,Negligible,Indo-European,Turkic,False
DE # German,UR # Urdu,5.8024854957625704,5.9536968662113114,0.151211370448741,0.025397895433155588,Negligible,0.4166666666666667,0.4722222222222222,0.055555555555555525,0.11764705882352935,Small,Indo-European,Indo-European,True
DE # German,VI # Vietnamese,5.8024854957625704,5.792000947265681,0.010484548496889623,0.0018069064549228536,Negligible,0.4166666666666667,0.4097222222222222,0.006944444444444475,0.01666666666666674,Negligible,Indo-European,Austro-Asiatic,False
