Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;simmering;explosive;quiet;righteous;suppressed
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,courage,brave;heroic;unwavering;bold;fearless;moral;quiet;physical;intellectual;inspiring
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,fear,intense;sudden;deep;irrational;overwhelming;primal;hidden;paralyzing;instinctive;creeping
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,freedom,absolute;hard-won;personal;unlimited;basic;true;restricted;newfound;individual;collective
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;overwhelming;fleeting;genuine;inner;shared;radiant;quiet
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,hate,intense;deep-seated;irrational;burning;blind;festering;mutual;unspoken;bitter;relentless
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,honesty,brutal;unwavering;complete;refreshing;painful;straightforward;rare;absolute;heartfelt;transparent
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;delayed;equal;restorative;divine;impartial
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;hidden;theoretical;shared;profound;basic;specialized;timeless
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;forbidden;pure;romantic;selfless;fleeting;deep;platonic
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;temporary;profound;spiritual;hard-won;absolute
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;intuitive;hard-earned;spiritual;quiet;worldly;innate
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,bell,loud;small;antique;ringing;golden;church;handheld;cracked;decorative;electronic
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,candle,scented;flickering;tall;beeswax;decorative;melted;aromatic;birthday;emergency;colored
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,carpet,soft;patterned;woolen;thick;oriental;worn;colorful;synthetic;rolled;antique
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;foreign;counterfeit;commemorative;heavy;minted
grok-3-mini,english-monolingual,0.0,UR # Urdu,B1,most frequent,Cultural Artifacts,crown,royal;golden;jeweled;ceremonial;ancient;heavy;symbolic;ornate;simple;stolen
