Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;wild;dark;bitter;fierce;sudden;intense
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,courage,brave;bold;strong;true;great;real;pure;quiet;inner;fearless
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,fear,deep;cold;dark;big;hidden;sudden;sharp;heavy;silent;growing
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;hard;new;long;open;bright;pure;real
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,happiness,warm;bright;pure;simple;true;deep;big;sweet;quiet;lasting
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;bitter;cold;fierce;hidden;sharp;wild;blind
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;strong;real;simple;open;brave;quiet;fair
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;right;pure;hard;equal;honest;final
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;new;old;strong;basic;vast
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;pure;strong;soft;real;lasting;kind
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,peace,quiet;calm;soft;true;deep;warm;long;pure;gentle;sweet
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Abstract Concepts,wisdom,deep;old;true;great;clear;quiet;strong;pure;simple;real
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;heavy;golden;bright;sweet;ringing
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,candle,small;warm;bright;soft;white;tall;burning;quiet;simple;glowing
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;clean;colorful;heavy;smooth
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,coin,old;small;shiny;round;heavy;silver;golden;rare;dirty;worn
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;big;rich;grand;precious
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,flag,bright;colorful;big;national;old;torn;waving;proud;red;tall
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,mask,dark;scary;funny;old;black;strange;hidden;wooden;painted;mysterious
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;golden;expensive;delicate;simple;heavy;elegant
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;dark;bright;small;realistic;abstract
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,ring,small;shiny;golden;silver;expensive;simple;beautiful;round;tight;precious
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,statue,tall;old;stone;big;beautiful;heavy;ancient;white;grand;silent
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Cultural Artifacts,vase,tall;thin;beautiful;old;glass;delicate;colorful;empty;heavy;elegant
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,cloud,white;big;dark;soft;fluffy;grey;high;heavy;moving;thick
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,earthquake,strong;sudden;scary;big;dangerous;loud;violent;deep;terrible;destructive
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,fog,thick;cold;grey;heavy;dark;silent;wet;mysterious;dense;early
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;sharp;dangerous;white;sudden;strong;scary;powerful
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;soft;wet;long;sudden;warm;gentle;dark
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;big;clear;rare;magical;high;lovely;vivid
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;thick;quiet;beautiful;light;wet;falling
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;dangerous;big;wild;scary;heavy;sudden;violent
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;scary;sudden;dark;heavy;powerful;rolling;distant
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;dangerous;big;quiet;rising;powerful;steady
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,volcano,hot;dangerous;big;active;tall;dark;fiery;scary;old;powerful
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;warm;light;heavy;wild;soft;loud;gentle
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,apple,red;green;sweet;fresh;small;round;juicy;hard;ripe;tasty
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,banana,yellow;long;sweet;soft;fresh;ripe;small;curved;healthy;tasty
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,beef,red;fresh;tender;juicy;expensive;raw;cooked;thick;soft;tasty
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,bread,soft;fresh;warm;white;brown;hard;thick;tasty;old;crusty
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;raw;cooked;bitter;tasty;clean
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;smelly;creamy;tasty;old;fresh;melted
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,chicken,white;tender;juicy;fresh;cooked;raw;tasty;soft;small;roasted
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,egg,white;small;fresh;hard;soft;boiled;fried;round;yellow;tasty
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,fish,fresh;small;big;raw;cooked;tasty;silver;wet;smelly;healthy
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,pasta,soft;long;yellow;tasty;hot;fresh;simple;creamy;dry;cooked
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,rice,white;soft;sticky;long;short;tasty;hot;fresh;plain;cooked
grok-3,think-in-native,0.0,TH # Thai,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;thin;creamy;clear;fresh;salty;healthy
