Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,anger,deep;blind;burning;righteous;uncontrollable;sudden;seething;suppressed;intense;cold
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,courage,great;inner;true;quiet;moral;physical;unwavering;boundless;fierce;unexpected
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,fear,deep;irrational;crippling;overwhelming;instinctive;genuine;primal;unfounded;constant;lingering
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,freedom,political;personal;economic;individual;fundamental;religious;intellectual;academic;basic;civil
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,happiness,pure;simple;genuine;true;lasting;fleeting;infectious;immense;inner;childlike
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,hate,bitter;deep;burning;irrational;intense;abiding;consuming;virulent;visceral;personal
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,honesty,brutal;complete;absolute;unquestionable;refreshing;unwavering;inherent;personal;essential;simple
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,justice,social;criminal;restorative;environmental;equal;fair;blind;impartial;swift;delayed
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,knowledge,extensive;specialized;practical;theoretical;general;scientific;profound;working;tacit;limited
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,love,unconditional;true;deep;passionate;everlasting;romantic;platonic;maternal;paternal;brotherly
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,peace,lasting;fragile;uneasy;inner;world;temporary;negotiated;sustainable;relative;true
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Abstract Concepts,wisdom,great;ancient;acquired;practical;innate;collective;conventional;spiritual;traditional;profound
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,bell,loud;church;school;hand;brass;ringing;clear;small;distant;warning
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,candle,burning;scented;wax;tall;short;flickering;votive;beeswax;white;decorative
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;thick;wool;red;patterned;rolled;area;machine-made;plush
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,coin,gold;silver;ancient;rare;collectible;valuable;lucky;counterfeit;bronze;shiny
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ceremonial;silver;bejeweled;diamond;imperial;heavy;symbolic
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,flag,national;waving;red;white;blue;tattered;colorful;flown;rectangular;state
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,mask,protective;surgical;Venetian;plastic;decorative;elaborate;painted;paper;tribal;anonymous
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;beaded;diamond;gemstone;long;delicate;ornate;costume
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,painting,oil;watercolor;abstract;landscape;portrait;famous;original;framed;impressionistic;contemporary
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;ornate;jeweled;simple;class;signet
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;ancient;classical;tall;commemorative;monumental;granite;lifelike
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Cultural Artifacts,vase,glass;ceramic;porcelain;antique;flower;tall;crystal;delicate;ornate;colorful
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,cloud,white;dark;gray;puffy;rain;storm;gathering;distant;towering;cirrus
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,earthquake,major;devastating;powerful;strong;sudden;recent;unexpected;seismic;aftershock;minor
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,fog,thick;dense;heavy;pea-soup;morning;rolling;coastal;ground;lifting;mysterious
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;intense;blinding;distant;sheet;summer;frequent;atmospheric
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,rain,heavy;light;gentle;steady;cold;warm;torrential;acid;afternoon;persistent
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;arched;double;faint;vibrant;complete;distant;elusive;ethereal
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,snow,heavy;light;falling;fresh;deep;powdery;wet;driven;drifting;crisp
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,storm,severe;violent;winter;summer;tropical;electrical;approaching;passing;brewing;raging
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,thunder,loud;distant;rumbling;booming;crashing;echoing;rolling;heavy;ominous;sudden
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,tide,high;low;incoming;outgoing;spring;neap;strong;rising;falling;daily
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,volcano,active;dormant;extinct;volcanic;erupting;towering;smoking;nearby;dangerous;geological
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;gusty;gentle;prevailing;easterly;westerly;light;howling
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,apple,red;green;crisp;sweet;juicy;ripe;organic;delicious;Granny Smith;Macintosh
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,banana,yellow;ripe;unripe;Cavendish;sweet;organic;peeled;sliced;mashed;overripe
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,beef,prime;ground;lean;tender;raw;cooked;aged;grilled;roasted;marbled
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,bread,white;whole;wheat;sourdough;fresh;toasted;stale;crusty;sliced;homemade
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,broccoli,green;fresh;steamed;raw;organic;florets;chopped;frozen;cooked;healthy
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,cheese,cheddar;swiss;parmesan;blue;hard;soft;melted;grated;aged;creamy
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,chicken,fried;roasted;grilled;raw;cooked;boneless;skinless;organic;whole;seasoned
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,egg,fried;scrambled;hard-boiled;raw;organic;cracked;whole;runny;poached;deviled
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,fish,fresh;saltwater;freshwater;fried;grilled;raw;cooked;frozen;whole;filleted
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,pasta,Italian;dry;cooked;fresh;whole-wheat;long;short;homemade;overcooked;al dente
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,rice,white;brown;long-grain;short-grain;cooked;wild;basmati;jasmine;sticky;fried
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Food Items,soup,hot;cold;creamy;thick;vegetable;chicken;tomato;homemade;canned;hearty
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Human Roles,artist,talented;famous;struggling;local;contemporary;modern;abstract;unknown;classical;emerging
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Human Roles,athlete,professional;amateur;Olympic;talented;skilled;dedicated;young;seasoned;injured;successful
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Human Roles,chef,famous;head;executive;sous;experienced;talented;skilled;Michelin-starred;line;pastry
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Human Roles,doctor,medical;general;family;specialist;experienced;caring;qualified;young;attending;resident
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Human Roles,engineer,civil;mechanical;electrical;software;experienced;qualified;structural;chemical;aerospace;design
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Human Roles,farmer,local;organic;family;hard-working;experienced;small-scale;modern;traditional;sustainable;independent
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Human Roles,lawyer,experienced;corporate;criminal;defense;prosecuting;skilled;successful;junior;senior;reputable
gemini-2.0-flash,english-monolingual,1.0,KO # Korean,B1,most frequent,Human Roles,musician,talented;professional;local;classical;jazz;rock;aspiring;session;skilled;accomplished
