Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,big;bad;hot;other;much;real;same;new;good;little
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,much;real;new;good;little;other;big;same;more;great
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,big;much;real;same;other;new;little;good;more;strong
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,much;real;new;big;little;same;other;good;more;great
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,much;real;new;little;big;same;good;more;other;great
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,much;big;real;same;new;other;little;good;more;great
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,real;much;new;little;good;same;more;other;great;big
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,real;much;new;little;good;same;more;other;great;big
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,much;real;new;little;good;big;same;more;other;great
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,much;big;real;new;little;good;same;more;other;great
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,much;real;new;little;big;good;same;more;other;great
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,much;real;new;little;big;good;same;more;other;great
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,big;small;new;good;old;metal;same;more;other;little
gemini-2.0-flash,basic,1.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,big;small;white;new;good;old;same;other;more;little
