Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,big;bad;hot;red;strong;much;some;real;true;more
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,courage,big;real;much;more;some;good;strong;little;true;new
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,fear,big;bad;much;more;some;real;little;good;strong;new
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,freedom,much;more;big;some;real;good;little;true;new;own
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,happiness,big;much;more;some;real;true;good;little;new;long
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,hate,big;much;more;some;real;strong;true;bad;little;new
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,honesty,much;more;real;some;true;good;new;big;important;little
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,justice,real;true;much;more;some;good;fair;new;big;little
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,knowledge,much;more;real;good;big;new;some;little;important;true
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,love,big;true;much;more;real;good;some;little;new;strong
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,peace,big;true;much;more;real;good;some;new;long;important
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Abstract Concepts,wisdom,big;real;true;good;much;more;some;new;little;important
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;loud;metal;school;church;broken
gemini-2.0-flash,basic,1.0,PS # Pashto,B1,most frequent,Cultural Artifacts,candle,big;small;white;red;old;new;wax;good;hot;long
