Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,big;hot;bad;strong;new;good;long;true;real;dark
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,strong;good;big;real;new;true;little;great;long;hard
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,big;bad;real;strong;little;new;dark;good;long;true
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,good;big;real;new;true;important;great;long;right;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,good;big;real;new;true;great;long;little;special;right
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,big;strong;bad;real;true;new;long;hard;dark;important
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,good;real;true;important;big;new;long;hard;right;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,good;real;true;important;big;new;long;hard;right;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,good;big;real;new;true;important;great;long;right;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,big;good;real;true;new;long;great;little;important;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,good;big;real;new;true;long;important;special;right;great
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,good;big;real;true;new;long;important;great;right;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,big;small;loud;new;old;good;long;hard;broken;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,small;white;new;old;good;long;big;broken;hard;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,big;new;old;good;red;long;soft;hard;special;small
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,new;old;gold;silver;small;big;good;long;round;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,gold;big;new;old;good;special;long;small;hard;true
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,big;new;old;red;white;good;long;small;special;blue
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,new;old;big;small;good;white;black;red;special;hard
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,gold;silver;new;old;long;good;small;special;big;broken
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,painting,big;new;old;good;beautiful;long;small;red;blue;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,ring,gold;silver;new;old;small;big;good;special;long;round
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,statue,big;new;old;good;white;stone;hard;special;long;small
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Cultural Artifacts,vase,new;old;big;small;good;beautiful;long;broken;special;white
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,cloud,big;white;grey;new;dark;small;good;long;high;light
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,earthquake,big;strong;new;bad;long;good;hard;real;small;true
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,fog,big;thick;white;new;old;good;dark;long;cold;real
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,lightning,bright;big;new;fast;strong;good;bad;long;real;white
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rain,big;hard;heavy;new;old;good;light;long;cold;small
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rainbow,beautiful;big;new;good;long;special;real;colourful;bright;high
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,snow,white;big;new;cold;good;heavy;long;small;hard;light
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;long;good;hard;loud;real;dark
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,thunder,loud;big;strong;new;good;bad;long;real;hard;dark
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,tide,high;low;big;new;good;long;strong;small;real;bad
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,volcano,big;active;new;old;good;hot;long;strong;real;hard
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;hot;new;good;long;hard;small;light
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,apple,red;green;big;small;new;good;sweet;long;hard;soft
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,banana,yellow;big;small;new;good;sweet;long;soft;hard
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,beef,good;big;new;red;long;hard;soft;special;cheap;expensive
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,bread,good;new;fresh;long;white;hard;soft;big;small;brown
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,broccoli,green;good;new;fresh;long;big;small;hard;soft;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,cheese,good;new;old;white;yellow;hard;soft;big;small;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,chicken,good;new;big;small;long;white;yellow;hard;soft;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,egg,white;new;old;big;small;good;hard;soft;long;broken
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,fish,good;new;big;small;long;fresh;white;special;cooked;raw
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,pasta,good;new;long;big;small;hard;soft;white;yellow;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,rice,good;new;long;white;big;small;hard;soft;special;cooked
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Food Items,soup,good;hot;new;old;long;big;small;special;hard;easy
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,artist,good;new;old;famous;great;long;small;special;hard;nice
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,athlete,good;strong;fast;new;young;old;great;long;small;special
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,chef,good;new;old;famous;great;long;small;special;hard;nice
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,doctor,good;new;young;old;famous;great;long;special;hard;nice
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,engineer,good;new;old;great;long;special;hard;big;small;important
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,farmer,good;new;old;big;small;long;hard;special;nice;strong
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,lawyer,good;new;old;famous;great;long;special;hard;big;small
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,musician,good;new;old;famous;great;long;special;hard;nice;young
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,scientist,good;new;old;great;long;special;hard;big;small;important
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,soldier,good;strong;new;young;old;long;hard;special;brave;nice
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,teacher,good;new;young;old;great;long;special;hard;nice;important
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Human Roles,writer,good;new;old;famous;great;long;special;hard;nice;young
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,book,good;new;old;big;small;long;hard;special;important;easy
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,bridge,big;long;new;old;good;strong;hard;special;small;high
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,drums,big;loud;new;old;good;small;hard;special;long;nice
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,earth,big;round;new;old;good;special;long;hard;small;green
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,flute,new;old;good;long;small;special;hard;nice;big;broken
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,key,new;old;small;big;good;special;long;hard;broken;silver
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,knife,sharp;new;old;big;small;good;special;long;hard;broken
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,lock,new;old;big;small;good;hard;special;long;broken;strong
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,moon,big;bright;new;full;good;long;small;special;white;round
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,pen,new;old;good;long;small;special;hard;broken;black;blue
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,sun,big;bright;hot;new;good;long;special;hard;small;yellow
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Inanimate Objects,sword,new;old;big;long;sharp;good;hard;special;small;broken
gemini-2.0-flash,think-in-native,1.0,AR # Arabic,B1,most frequent,Neutral Animals,cat,small;cute;new;black;white;good;long;fat;thin;special
