Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;true;great;red;open;loud;much
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,courage,big;strong;true;real;great;hard;little;more;right;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,fear,big;bad;great;real;true;new;more;hard;small;much
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,freedom,big;great;much;real;new;good;open;hard;right;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,happiness,big;true;good;much;real;great;long;new;right;little
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,hate,big;bad;true;great;strong;real;hard;new;long;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,honesty,true;good;great;real;hard;more;big;new;long;small
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,justice,true;good;right;real;hard;great;big;new;long;more
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,knowledge,good;big;great;new;much;true;real;hard;more;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,love,true;great;good;big;much;real;long;hard;more;little
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,peace,big;good;true;great;real;long;new;right;hard;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Abstract Concepts,wisdom,great;true;good;real;hard;much;right;more;big;new
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,bell,big;small;good;new;old;metal;loud;gold;hard;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,candle,big;small;white;new;old;long;red;yellow;wax;light
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;red;good;long;nice;wool;clean
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,coin,small;old;new;gold;silver;metal;big;good;round;hard
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,crown,gold;big;small;new;old;great;real;long;hard;beautiful
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;red;white;blue;good;long;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;white;black;red;good;hard;scary
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,necklace,gold;silver;long;new;old;small;big;beautiful;good;real
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;beautiful;real;long;right;nice
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,ring,gold;silver;small;big;new;old;good;round;real;beautiful
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;stone;gold;real;beautiful;hard;white
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;beautiful;glass;white;round;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,cloud,big;white;small;grey;dark;new;old;good;bad;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;great;new;real;hard;long;much;little
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,fog,big;thick;white;new;old;dark;small;real;hard;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,lightning,big;strong;new;bright;fast;bad;good;white;long;real
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rain,big;small;hard;soft;new;good;bad;cold;much;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rainbow,big;beautiful;new;good;long;real;right;small;nice;hard
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,snow,big;small;white;new;old;soft;good;bad;cold;much
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;great;new;old;hard;long;real;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;new;real;good;bad;long;hard;much
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;good;real;long;hard;right;much
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;old;new;good;bad;real;hard;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;new;hot;bad;good;hard;long;real
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,apple,red;green;big;small;new;good;sweet;hard;soft;yellow
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,banana,yellow;long;new;good;sweet;soft;big;small;hard;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,beef,good;red;new;big;small;hard;soft;more;real;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,bread,good;white;brown;new;old;hard;soft;big;small;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,broccoli,green;good;new;small;big;hard;real;long;much;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,cheese,good;white;yellow;new;old;hard;soft;big;small;real
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,chicken,good;new;big;small;hard;real;long;right;much;fried
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,egg,white;good;new;old;small;big;hard;soft;real;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,fish,big;small;new;good;real;fresh;hard;long;right;much
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,pasta,good;new;small;big;white;hard;soft;long;much;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,rice,white;good;new;small;big;long;much;right;hard;soft
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Food Items,soup,good;hot;new;big;small;long;much;real;nice;tasty
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,artist,good;great;new;old;real;hard;long;big;small;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,athlete,good;great;strong;fast;new;young;old;real;hard;big
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,chef,good;great;new;old;big;real;hard;long;famous;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,doctor,good;great;new;old;young;real;hard;long;nice;famous
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,engineer,good;great;new;old;real;hard;long;big;famous;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,farmer,good;old;new;big;small;real;hard;long;open;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,lawyer,good;great;new;old;real;hard;long;big;famous;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,musician,good;great;new;old;young;real;hard;long;famous;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,scientist,good;great;new;old;real;hard;long;big;famous;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,soldier,good;strong;new;old;young;real;hard;long;big;brave
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,teacher,good;great;new;old;young;real;hard;long;nice;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Human Roles,writer,good;great;new;old;real;hard;long;famous;right;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,book,good;new;old;big;small;hard;long;interesting;real;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,bridge,big;long;new;old;good;high;real;hard;open;strong
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,drums,big;loud;new;old;good;hard;strong;real;right;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,earth,big;small;new;old;good;real;hard;long;right;green
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,flute,long;good;new;old;small;real;hard;right;silver;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,key,small;big;new;old;gold;silver;real;hard;long;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,knife,sharp;new;old;small;big;good;real;hard;long;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,lock,small;big;new;old;good;hard;strong;real;long;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,moon,big;small;new;full;old;good;round;white;real;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,pen,good;new;old;small;big;long;black;blue;red;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,sun,big;hot;bright;new;old;good;yellow;real;long;hard
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Inanimate Objects,sword,long;new;old;big;good;sharp;strong;real;hard;silver
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,cat,small;big;new;old;good;black;white;cute;real;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,dog,big;small;new;old;good;black;white;cute;real;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,dolphin,big;small;new;old;good;real;grey;hard;long;nice
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,elephant,big;grey;old;good;new;real;hard;long;strong;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,hamster,small;new;good;real;cute;hard;long;right;big;young
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,monkey,small;new;good;real;cute;hard;long;brown;funny;big
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,mouse,small;new;old;good;grey;real;hard;long;cute;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,peacock,big;beautiful;new;good;real;hard;long;right;nice;more
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,rabbit,small;cute;new;old;good;white;real;hard;long;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,shark,big;new;old;good;real;dangerous;hard;long;grey;white
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,snake,long;new;old;good;real;dangerous;hard;right;big;small
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Neutral Animals,whale,big;blue;new;old;good;real;hard;long;right;grey
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,city,big;new;old;good;real;hard;long;open;beautiful;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,desert,big;hot;new;old;good;real;hard;long;dry;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,forest,big;new;old;green;good;real;hard;long;open;deep
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,island,big;small;new;old;good;real;beautiful;hard;long;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,lake,big;small;new;old;good;real;hard;long;deep;beautiful
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,mountain,big;high;new;old;good;real;hard;long;green;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,ocean,big;new;old;blue;good;real;hard;long;deep;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,plain,big;new;old;green;good;real;hard;long;open;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,plateau,big;new;old;high;good;real;hard;long;flat;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,river,big;long;new;old;good;real;hard;deep;wide;small
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,valley,long;new;old;good;green;deep;real;hard;big;small
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Places,village,small;new;old;good;real;quiet;hard;long;nice;big
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,cactus,big;small;new;old;green;real;hard;long;right;tall
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,eggplant,big;small;new;old;good;purple;real;hard;long;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,flower,big;small;new;old;good;beautiful;real;long;nice;colorful
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,grass,green;new;old;good;long;short;real;hard;right;big
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,lettuce,green;new;old;good;big;small;real;long;right;soft
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,mushroom,big;small;new;old;good;white;brown;real;hard;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,onion,big;small;new;old;good;white;real;hard;long;strong
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,pepper,red;green;hot;new;good;real;hard;long;big;small
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,potato,big;small;new;old;good;brown;real;hard;long;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,rose,red;beautiful;new;good;real;long;nice;small;big;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,tomato,red;big;small;new;good;real;hard;long;right;juicy
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Plants,tree,big;small;new;old;green;tall;good;real;hard;long
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,ally,good;strong;new;old;real;hard;long;right;big;small
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,brother,big;small;new;old;good;real;hard;long;nice;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,enemy,bad;big;strong;new;real;hard;long;right;small;dangerous
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,father,big;small;new;old;good;real;hard;long;nice;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,follower,good;new;old;real;hard;long;big;small;right;strong
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,friend,good;new;old;real;hard;long;nice;best;big;small
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,leader,good;strong;new;old;real;hard;long;big;small;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,mother,good;new;old;real;hard;long;nice;small;big;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,partner,good;new;old;real;hard;long;right;big;small;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,rival,bad;strong;big;small;new;old;real;hard;long;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,sister,big;small;new;old;good;real;hard;long;nice;right
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Social Relationships,stranger,new;old;real;bad;big;small;hard;long;nice;dangerous
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,above,high;new;old;good;real;hard;long;right;big;small
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,back,big;small;new;old;good;real;hard;long;right;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,below,low;new;old;good;real;hard;long;right;big;small
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,east,new;old;good;real;hard;long;right;big;small;far
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,front,big;new;old;good;real;hard;long;right;small;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,inside,big;small;new;old;good;real;hard;long;right;dark
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,left,new;old;good;real;hard;long;right;big;small;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,north,new;old;good;real;hard;long;right;big;small;cold
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,outside,big;small;new;old;good;real;hard;long;right;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,right,good;new;old;real;hard;long;big;small;open;more
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,south,new;old;good;real;hard;long;right;big;small;hot
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Spatial Concepts,west,new;old;good;real;hard;long;right;big;small;open
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Time Concepts,century,long;new;old;big;small;real;hard;right;more;good
gemini-2.0-flash,think-in-native,2.0,TR # Turkish,B1,most frequent,Time Concepts,day,long;short;new;old;good;real;hard;big;small;right
