Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,anger,intense;blind;hot;sudden;deep;suppressed;righteous;explosive;simmering;uncontrolled
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,courage,brave;unwavering;heroic;bold;fearless;moral;quiet;physical;innate;steadfast
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,fear,intense;irrational;deep;sudden;paralyzing;primal;overwhelming;hidden;chronic;instinctive
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,freedom,absolute;personal;true;hard-won;unlimited;basic;political;spiritual;economic;newfound
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;inner;contagious;profound;everyday;radiant
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,hate,intense;blind;deep;irrational;bitter;enduring;violent;unspoken;racial;simmering
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;straightforward;unwavering;rare;heartfelt;absolute;painful;genuine
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;equal;restorative;divine;criminal;true;impartial
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;secret;theoretical;deep;shared;basic;specialized;timeless
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;pure;romantic;selfless;forbidden;deep;platonic;eternal
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;absolute;mental;negotiated;spiritual;profound
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;innate;hard-earned;spiritual;common;intuitive;deep
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,bell,ringing;loud;clear;antique;golden;small;church;silver;ornate;electronic
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;waxen;decorative;birthday;emergency;colored;aromatic;slender
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;oriental;worn;colorful;synthetic;luxurious;faded
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;foreign;counterfeit;old;commemorative;heavy
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ancient;ceremonial;heavy;ornate;symbolic;imperial;sparkling
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;proud;striped;historic;fluttering
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,mask,protective;decorative;facial;mysterious;theatrical;surgical;carved;anonymous;festive;elaborate
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,necklace,sparkling;pearl;golden;simple;antique;beaded;elegant;layered;silver;handmade
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;famous;landscape;modern;oil;portrait;colorful;historic
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,ring,golden;engagement;simple;antique;diamond;silver;oversized;engraved;wedding;flashy
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,statue,towering;bronze;ancient;marble;heroic;modern;lifelike;commemorative;stone;elegant
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Cultural Artifacts,vase,ornate;ceramic;antique;glass;decorative;floral;tall;painted;crystal;simple
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low;cumulus;gray;billowing
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,earthquake,devastating;minor;powerful;sudden;seismic;destructive;shallow;major;underground;violent
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,fog,thick;dense;morning;mysterious;coastal;chilling;persistent;light;rolling;eerie
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;electrical;dramatic;distant;powerful;flashing;nighttime;intense
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;torrential;gentle;seasonal;cold;refreshing;monsoon;drizzling
grok-3-mini,english-monolingual,0.0,FR # French,B1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;double;faint;spectacular;arched;post-rain;wide;ethereal;bright
