Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;much;new;real;true;other;same
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,courage,big;good;strong;much;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,fear,big;bad;strong;much;new;real;true;other;same;little
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,freedom,big;good;much;new;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,happiness,big;good;much;new;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,hate,big;bad;strong;much;new;real;true;other;same;little
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,honesty,big;good;much;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,justice,big;good;much;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,knowledge,big;good;much;new;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,love,big;good;strong;much;new;real;true;other;same
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,peace,big;good;much;new;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,wisdom,big;good;much;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,bell,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,candle,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,carpet,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,coin,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,crown,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,flag,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,mask,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,necklace,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,painting,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,ring,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,statue,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,vase,big;small;good;new;old;real;true;other;same;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,cloud,big;small;white;black;grey;new;old;real;true;other
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,earthquake,big;bad;strong;new;old;real;true;other;same;little
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,fog,big;small;white;grey;new;old;real;true;other;same
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,lightning,big;strong;new;old;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rain,big;small;much;new;old;real;true;other;same;little
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rainbow,big;good;new;old;real;true;other;same;little;hard
gemini-2.0-flash,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,snow,big;small;white;new;old;real;true;other;same;little
