Noun,NounCategory,Language1,Language2,Distance,Adjectives1,Adjectives2
artist,Human Roles,AR # Arabic,BN # Bengali,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;talented;modern;creative;new;local;popular
artist,Human Roles,AR # Arabic,DE # German,0.0,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;creative;talented;new;local;popular
artist,Human Roles,AR # Arabic,ES # Spanish,0.0,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;creative;talented;new;local;popular
artist,Human Roles,AR # Arabic,FA # Persian,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,AR # Arabic,FR # French,0.013218105,famous;young;old;great;modern;talented;creative;new;local;popular,great;famous;young;old;new;modern;creative;talented;good;local
artist,Human Roles,AR # Arabic,GA # Irish,0.061747134,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;new;great;good;modern;real;true;creative
artist,Human Roles,AR # Arabic,HE # Hebrew,0.01722461,famous;young;old;great;modern;talented;creative;new;local;popular,great;famous;young;old;new;modern;creative;talented;real;local
artist,Human Roles,AR # Arabic,HI # Hindi,0.0,famous;young;old;great;modern;talented;creative;new;local;popular,great;famous;young;old;new;modern;creative;talented;local;popular
artist,Human Roles,AR # Arabic,IT # Italian,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,AR # Arabic,JA # Japanese,0.01722467,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;new;modern;creative;talented;local;real
artist,Human Roles,AR # Arabic,KO # Korean,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;local;popular
artist,Human Roles,AR # Arabic,LV # Latvian,0.013218105,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;new;modern;talented;creative;local;good
artist,Human Roles,AR # Arabic,PL # Polish,0.017062724,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;good;modern;new;creative;talented;popular
artist,Human Roles,AR # Arabic,PS # Pashto,0.0,famous;young;old;great;modern;talented;creative;new;local;popular,great;famous;young;old;modern;creative;talented;new;local;popular
artist,Human Roles,AR # Arabic,PT # Portuguese,0.0,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;new;modern;creative;talented;local;popular
artist,Human Roles,AR # Arabic,RU # Russian,0.03448528,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;modern;new;talented;creative;real;good
artist,Human Roles,AR # Arabic,SQ # Albanian,0.0,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;talented;creative;local;new;popular
artist,Human Roles,AR # Arabic,SW # Swahili,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;talented;creative;modern;new;local;popular
artist,Human Roles,AR # Arabic,TH # Thai,0.03448522,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;new;modern;creative;talented;good;real
artist,Human Roles,AR # Arabic,TR # Turkish,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;local
artist,Human Roles,AR # Arabic,UR # Urdu,0.014559984,famous;young;old;great;modern;talented;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;skilled
artist,Human Roles,AR # Arabic,VI # Vietnamese,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,AR # Arabic,ZH # Mandarin,5.9604645e-08,famous;young;old;great;modern;talented;creative;new;local;popular,young;old;famous;great;modern;talented;creative;new;local;popular
artist,Human Roles,BN # Bengali,DE # German,0.0,famous;young;old;great;talented;modern;creative;new;local;popular,famous;young;old;great;modern;creative;talented;new;local;popular
artist,Human Roles,BN # Bengali,ES # Spanish,0.0,famous;young;old;great;talented;modern;creative;new;local;popular,famous;young;old;great;modern;creative;talented;new;local;popular
artist,Human Roles,BN # Bengali,FA # Persian,5.9604645e-08,famous;young;old;great;talented;modern;creative;new;local;popular,famous;young;old;great;modern;talented;creative;new;popular;local
