Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;blind;great;sudden;bitter;controlled;explosive;quiet
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;quiet;sudden;bold;real;pure;simple
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,fear,great;deep;sudden;strong;dark;cold;real;quick;bad;hidden
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,freedom,great;true;full;new;real;simple;strong;pure;open;wide
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,happiness,great;true;full;simple;pure;real;deep;quick;strong;warm
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;blind;great;pure;quick;cold;dark;real
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,honesty,true;simple;pure;real;strong;great;quiet;full;open;clear
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,justice,true;fair;strong;great;pure;real;quick;blind;simple;full
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,knowledge,great;deep;true;simple;real;strong;wide;pure;quick;full
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,love,great;true;deep;pure;strong;real;warm;simple;blind;full
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,peace,great;true;quiet;full;real;deep;warm;simple;pure;strong
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;simple;real;strong;pure;quiet;full;wise
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;shiny;broken;metal;round
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;soft;white;red;broken;long
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;hard;red;blue;dirty;clean
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;dirty;gold;silver;round;heavy;light
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;shiny;heavy;royal;broken;simple;beautiful
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;red;blue;national;torn;clean;bright
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;white;scary;funny;broken;soft
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;gold;silver;shiny;broken;simple;beautiful
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;ugly;colorful;dark;simple;broken
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;gold;silver;shiny;broken;simple;beautiful
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;broken;tall;simple;beautiful
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;broken;glass;clay;beautiful;simple;colorful
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;soft;high;low;fast;slow;wet
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,earthquake,big;strong;sudden;bad;deep;long;scary;real;quick;violent
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,fog,thick;thin;white;cold;wet;heavy;light;early;late;bad
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,lightning,bright;fast;sudden;strong;scary;white;hot;quick;real;dangerous
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;long;short;wet;steady;sudden;soft
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;big;small;rare;clear;full;quick;natural
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;wet;fresh;old;heavy;pure
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,storm,big;strong;violent;sudden;dark;wet;cold;long;scary;real
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;scary;deep;long;quick;real;bad;distant
grok-3-mini,think-in-native,0.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,tide,high;low;strong;weak;fast;slow;big;small;cold;warm
