Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,anger,strong;sudden;deep;great;real;big;quick;hot;silent;cold
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,courage,great;true;strong;real;big;quiet;silent;brave;new;good
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,fear,great;deep;big;sudden;real;strong;cold;silent;quick;true
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,freedom,real;true;great;full;new;big;personal;complete;political;total
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,happiness,great;real;true;full;big;deep;simple;quiet;new;complete
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,hate,deep;strong;real;great;big;cold;true;sudden;silent;quick
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,honesty,true;real;great;complete;simple;full;good;open;quiet;big
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,justice,true;real;great;social;big;complete;good;fair;equal;strong
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,knowledge,great;deep;real;true;new;big;full;complete;good;simple
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,love,true;real;great;deep;big;strong;new;first;simple;full
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,peace,real;true;great;complete;full;new;quiet;deep;big;simple
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Abstract Concepts,wisdom,great;true;real;deep;big;simple;full;complete;good;new
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;golden;silver;heavy;round;metal
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;new;old;long;short;thin;simple
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;red;blue;soft;thick;long;clean
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,coin,small;old;new;gold;silver;round;big;rare;shiny;metal
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,crown,golden;big;small;old;new;heavy;beautiful;royal;silver;rich
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,flag,national;big;small;old;new;red;blue;white;green;colorful
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,mask,white;black;red;big;small;old;new;simple;scary;funny
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,necklace,gold;silver;beautiful;long;short;new;old;small;big;simple
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,painting,beautiful;old;new;big;small;famous;simple;colorful;modern;classic
gpt-4.1,basic,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,ring,gold;silver;small;big;new;old;round;simple;beautiful;shiny
