Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;fierce;wild;dark;bitter;quick;sharp;heavy
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,courage,great;true;bold;real;strong;high;brave;deep;pure;inner
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,fear,big;strong;dark;cold;deep;sudden;terrible;hidden;constant;sharp
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;new;hard;precious;basic;real;complete;personal
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,happiness,pure;great;true;warm;simple;bright;deep;real;sweet;endless
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;dark;fierce;cold;pure;hidden;wild;heavy
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,honesty,true;pure;simple;real;complete;strong;clear;deep;basic;good
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,justice,fair;true;strong;real;equal;pure;clear;hard;necessary;right
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;basic;true;strong;clear;new;important
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,love,true;deep;sweet;strong;pure;warm;endless;real;gentle;big
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,peace,true;calm;quiet;deep;sweet;lasting;real;inner;pure;gentle
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;old;clear;strong;real;pure;quiet;practical
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;bright;sweet;ringing
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;burning;old;thin;red;glowing
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;beautiful;large;warm;clean;colorful;expensive
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,coin,old;small;shiny;silver;gold;round;heavy;rare;dirty;valuable
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;rich;grand;large;precious
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,flag,national;colorful;big;waving;red;white;blue;old;proud;bright
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,mask,scary;funny;black;white;old;strange;wooden;colorful;heavy;hidden
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;gold;silver;long;expensive;delicate;red;precious;elegant
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;large;famous;expensive;bright;dark;clear;detailed
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,ring,gold;silver;small;shiny;expensive;beautiful;round;simple;precious;delicate
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,statue,tall;old;stone;beautiful;large;heavy;famous;white;grand;ancient
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Cultural Artifacts,vase,old;beautiful;delicate;tall;thin;colorful;expensive;glass;white;elegant
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,cloud,white;dark;big;soft;fluffy;gray;heavy;high;thick;moving
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,earthquake,strong;terrible;sudden;dangerous;big;scary;destructive;powerful;deep;violent
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;gray;mysterious;dense;wet;dark;silent
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;loud;strong;white;sharp;sudden;powerful;scary
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;soft;strong;gray;warm;sudden;endless
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;clear;wide;magical;rare;happy;long;vivid
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;thick;heavy;pure;light;beautiful;wet;silent
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;dangerous;heavy;wild;scary;sudden;powerful;violent
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;scary;sudden;powerful;dark;heavy;sharp;rolling
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;dangerous;big;moving;powerful;wet;rough
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,volcano,hot;dangerous;big;active;red;dark;powerful;scary;tall;violent
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;warm;light;heavy;soft;sharp;loud;wild
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,apple,red;green;sweet;fresh;round;small;juicy;hard;ripe;shiny
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,banana,yellow;long;sweet;soft;fresh;ripe;small;curved;healthy;tasty
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,beef,red;fresh;tender;juicy;thick;cooked;raw;expensive;soft;tasty
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,bread,fresh;soft;warm;brown;white;hard;tasty;old;thick;crunchy
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;tasty;raw;cooked;bitter;light
grok-3,think-in-native,1.0,FA # Persian,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;tasty;creamy;smelly;old;fresh;thick
