Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,intense;burning;fierce;uncontrollable;deep;raw;bitter;sudden;suppressed;explosive
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;valiant;resolute;steadfast;gallant;unflinching
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;chilling;deep-seated;irrational;haunting;gripping;primal;lingering;acute
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;true;personal;enduring
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,happiness,pure;radiant;boundless;infectious;genuine;lasting;simple;profound;unexpected;blissful
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,hate,intense;venomous;deep-rooted;bitter;consuming;relentless;blind;toxic;passionate;destructive
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,honesty,brutal;unwavering;sincere;transparent;absolute;refreshing;admirable;rare;steadfast;uncompromising
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,justice,fair;impartial;righteous;swift;blind;hard-fought;moral;deserved;equitable;restorative
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,knowledge,vast;deep;profound;extensive;specialized;practical;ancient;hidden;invaluable;theoretical
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,love,unconditional;passionate;tender;eternal;selfless;romantic;enduring;deep;genuine;fierce
grok-3,english-monolingual,0.0,FA # Persian,B1,most frequent,Abstract Concepts,peace,serene;lasting;fragile;inner;quiet;harmonious;elusive;profound;universal;calming
