Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,intense;blind;raw;sudden;deep;boiling;righteous;suppressed;explosive;quiet
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,brave;bold;heroic;unwavering;moral;physical;quiet;foolish;innate;displayed
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,intense;irrational;deep;sudden;paralyzing;primal;overwhelming;hidden;creeping;unfounded
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,absolute;personal;political;hard-won;true;limited;economic;spiritual;unrestricted;basic
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,pure;lasting;fleeting;genuine;overwhelming;simple;inner;shared;radiant;quiet
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,intense;blind;deep;irrational;burning;mutual;simmering;racial;personal;destructive
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;rare;straightforward;unwavering;painful;absolute;heartfelt;transparent
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,swift;blind;social;poetic;true;delayed;equal;restorative;criminal;divine
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,vast;practical;theoretical;ancient;hidden;shared;profound;basic;specialized;forbidden
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;platonic;romantic;selfless;forbidden;deep;fleeting;familial
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,inner;lasting;fragile;global;quiet;temporary;spiritual;absolute;negotiated;serene
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;innate;hard-earned;spiritual;simple;shared;intuitive
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,bell,loud;ringing;antique;small;golden;cracked;electronic;decorative;handheld;church
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;waxen;decorative;birthday;emergency;colored;melted;aromatic
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,carpet,soft;woolen;patterned;thick;oriental;worn;colorful;synthetic;rolled;antique
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,coin,shiny;ancient;rare;gold;silver;counterfeit;foreign;minted;heavy;commemorative
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;ceremonial;ancient;heavy;symbolic;ornate;imperial;simple
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,flag,national;waving;colorful;tattered;symbolic;foreign;printed;historical;large;striped
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,mask,protective;decorative;theatrical;facial;anonymous;colorful;medical;carved;festive;eerie
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,necklace,pearl;golden;beaded;elegant;antique;simple;layered;sparkling;handmade;choker
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,painting,vibrant;abstract;detailed;landscape;portrait;modern;faded;oil;watercolor;framed
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,ring,golden;engagement;simple;diamond;antique;silver;oversized;engraved;wedding;signet
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,statue,marble;towering;ancient;bronze;heroic;modern;weathered;decorative;lifelike;stone
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Cultural Artifacts,vase,ornate;ceramic;glass;antique;floral;tall;decorative;cracked;colorful;crystal
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,cloud,fluffy;dark;wispy;stormy;white;drifting;low;cumulus;rainy;high
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,earthquake,massive;destructive;shallow;powerful;sudden;minor;tectonic;devastating;underground;seismic
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,fog,thick;dense;morning;eerie;coastal;rolling;light;persistent;chilly;mysterious
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,lightning,bright;forked;sudden;electrical;distant;striking;powerful;nighttime;heat;vivid
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;torrential;gentle;seasonal;cold;warm;persistent;refreshing
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,rainbow,vibrant;colorful;double;faint;arched;post-rain;spectacular;fleeting;wide;natural
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,snow,fresh;powdery;heavy;melting;deep;fluffy;wet;seasonal;pristine;drifting
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,storm,violent;brewing;tropical;fierce;electrical;sudden;winter;raging;coastal;mild
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,thunder,loud;rumbling;distant;crashing;ominous;echoing;sudden;deep;nighttime;powerful
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,tide,high;low;rising;ebbing;strong;coastal;incoming;outgoing;tidal;gentle
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Environmental Phenomena,volcano,active;dormant;explosive;massive;smoking;ancient;fiery;underwater;dangerous;majestic
