Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,anger,intense;sudden;deep;blind;raw;suppressed;righteous;simmering;explosive;uncontrolled
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,courage,great;true;moral;physical;heroic;unwavering;bold;innate;quiet;extraordinary
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,fear,intense;sudden;deep;irrational;overwhelming;primal;hidden;constant;paralyzing;unfounded
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,freedom,absolute;personal;political;true;hard-won;unlimited;basic;individual;economic;spiritual
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,happiness,pure;lasting;simple;genuine;fleeting;inner;contagious;profound;everyday;radiant
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,hate,intense;deep-seated;irrational;bitter;blind;growing;mutual;unspoken;violent;enduring
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,honesty,brutal;complete;unwavering;refreshing;absolute;straightforward;rare;heartfelt;transparent;genuine
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,justice,social;swift;blind;poetic;divine;equal;restorative;criminal;true;impartial
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,knowledge,vast;practical;ancient;secret;theoretical;deep;specialized;common;acquired;profound
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,love,unconditional;passionate;true;enduring;romantic;platonic;selfless;forbidden;deep;youthful
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,peace,inner;lasting;global;fragile;quiet;eternal;mental;negotiated;spiritual;absolute
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Abstract Concepts,wisdom,ancient;profound;practical;timeless;innate;hard-earned;spiritual;collective;intuitive;worldly
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,bell,ringing;ancient;small;golden;church;alarm;handheld;decorative;cracked;melodic
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,candle,flickering;scented;tall;beeswax;birthday;emergency;decorative;melted;aromatic;slender
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,carpet,plush;woolen;patterned;oriental;worn;colorful;thick;antique;synthetic;rolled
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,coin,ancient;shiny;rare;gold;silver;counterfeit;foreign;minted;valuable;tarnished
grok-3-mini,english-monolingual,0.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,crown,royal;golden;jeweled;ceremonial;ancient;symbolic;heavy;ornate;imperial;simple
