Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,strong;sudden;deep;great;real;big;quick;bad;loud;hot
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,great;real;strong;big;true;quiet;much;good;brave;personal
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,great;big;real;deep;sudden;strong;true;bad;quiet;cold
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,great;real;true;full;complete;personal;political;much;new;big
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,great;real;true;much;full;big;deep;simple;quiet;personal
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,strong;deep;real;big;true;much;great;cold;open;bad
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,real;true;great;much;personal;simple;open;good;full;big
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,real;true;great;social;much;good;big;open;full;simple
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,great;much;real;true;deep;big;good;new;personal;full
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,true;real;great;deep;big;much;strong;new;first;quiet
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,great;real;true;much;full;quiet;new;big;deep;personal
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,great;real;true;much;deep;big;good;old;personal;quiet
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;golden;silver;round;heavy;metal
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,small;big;white;red;new;old;long;short;thin;round
gpt-4.1,basic,0.0,ES # Spanish,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;red;blue;green;soft;long;thick
