Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,anger,deep;bitter;blind;cold;intense;righteous;sudden;uncontrollable;simmering;suppressed
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,courage,great;unwavering;quiet;moral;physical;fierce;remarkable;exceptional;selfless;inner
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,fear,great;deep;irrational;sudden;intense;overwhelming;paralyzing;lingering;constant;primal
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,freedom,great;political;personal;economic;individual;religious;national;limited;qualified;illusory
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,happiness,great;pure;simple;genuine;infectious;fleeting;profound;lasting;unconditional;unexpected
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,hate,deep;intense;blind;irrational;consuming;bitter;abiding;unrelenting;seething;suppressed
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,honesty,complete;unwavering;brutal;refreshing;simple;fundamental;absolute;undeniable;painful;open
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,justice,social;equal;fair;criminal;civil;restorative;impartial;delayed;swift;ultimate
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,knowledge,great;extensive;practical;scientific;specialized;advanced;basic;deep;acquired;theoretical
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,love,great;true;unconditional;deep;passionate;selfless;enduring;forbidden;brotherly;maternal
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,peace,great;lasting;fragile;uneasy;temporary;international;inner;world;relative;negotiated
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Abstract Concepts,wisdom,great;practical;ancient;traditional;conventional;acquired;worldly;inner;profound;collective
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,bell,loud;clear;brass;church;school;dinner;warning;ship's;bicycle;hand
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,candle,white;tall;short;wax;burning;scented;votive;beeswax;paraffin;stubby
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,carpet,thick;oriental;Persian;wool;red;new;old;patterned;expensive;rolled
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,coin,gold;silver;old;rare;ancient;shiny;lucky;valuable;commemorative;bronze
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,crown,golden;royal;jeweled;silver;ancient;ceremonial;diamond;bejeweled;heavy;simple
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,flag,national;red;white;blue;waving;torn;tattered;battle;signal;rebel
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,mask,plastic;white;black;surgical;protective;Venetian;theatrical;ceremonial;painted;elaborate
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;diamond;beaded;long;short;delicate;chunky;antique
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,painting,oil;watercolor;abstract;landscape;portrait;famous;beautiful;impressionist;original;priceless
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;signet;antique;plain;simple;valuable
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;large;small;ancient;religious;commemorative;equestrian;famous
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Cultural Artifacts,vase,glass;ceramic;porcelain;tall;short;flower;antique;decorative;crystal;painted
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,cloud,white;gray;dark;rain;thunder;storm;fluffy;puffy;gathering;low
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,earthquake,strong;major;devastating;powerful;violent;unexpected;recent;seismic;shallow;deep
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,fog,thick;dense;heavy;pea-soup;morning;coastal;rolling;patchy;ground;lifting
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,lightning,bright;sudden;forked;intense;sheet;distant;close;dangerous;summer;silent
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,rain,heavy;light;steady;gentle;torrential;cold;warm;acid;incessant;scattered
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,rainbow,colorful;vibrant;bright;double;faint;shimmering;arched;partial;elusive;complete
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,snow,heavy;light;fresh;falling;deep;wet;dry;powdery;drifting;melting
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,storm,heavy;severe;violent;thunder;electrical;winter;passing;brewing;tropical;rain
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,thunder,loud;deep;rolling;distant;close;booming;crashing;echoing;ominous;rumbling
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,tide,high;low;strong;neap;spring;incoming;outgoing;ebb;flood;rising
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,volcano,active;dormant;extinct;volcanic;erupting;large;small;nearby;distant;sleeping
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;light;gentle;gusty;prevailing;westerly;easterly;howling
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,apple,red;green;sweet;crisp;juicy;ripe;sour;rotten;delicious;organic
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,banana,yellow;ripe;green;overripe;sweet;Cavendish;small;long;organic;dried
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,beef,prime;lean;ground;tender;juicy;roast;grilled;aged;raw;organic
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,bread,white;whole;wheat;rye;sourdough;fresh;stale;toasted;sliced;crusty
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,broccoli,green;fresh;steamed;raw;organic;cooked;chopped;frozen;florets;tender
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,cheese,cheddar;Swiss;hard;soft;creamy;strong;mild;aged;blue;grated
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,chicken,fried;grilled;roasted;boiled;baked;raw;cooked;organic;whole;boneless
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,egg,white;brown;hard-boiled;scrambled;fried;raw;fresh;organic;cracked;poached
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,fish,fresh;saltwater;freshwater;fried;grilled;baked;raw;cooked;oily;bony
gemini-2.0-flash,english-monolingual,1.0,PT # Portuguese,B1,most frequent,Food Items,pasta,Italian;dry;cooked;fresh;long;short;stuffed;wheat;gluten-free;homemade
