Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,big;hot;bad;much;other;more;little;hard;new;real
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,courage,great;much;real;strong;big;more;hard;good;little;right
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,fear,big;much;little;more;bad;strong;great;other;hard;new
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,freedom,much;big;good;more;real;great;little;other;new;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,happiness,much;real;big;good;more;great;new;little;other;long
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,hate,big;much;real;bad;strong;other;little;great;more;new
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,honesty,good;much;real;great;more;little;other;hard;right;big
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,justice,big;much;real;good;more;little;great;hard;other;right
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,knowledge,much;good;big;more;great;little;real;other;new;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,love,big;much;good;real;more;great;little;new;other;strong
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,peace,big;good;much;more;real;long;great;little;new;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,wisdom,much;great;good;big;more;real;little;new;hard;right
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;metal;loud;good;other;long;round
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,candle,small;white;new;old;big;other;long;short;red;good
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,carpet,big;red;old;new;small;other;good;long;nice;round
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,coin,old;small;gold;silver;new;big;other;round;little;metal
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,crown,gold;big;old;new;great;good;small;other;long;round
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,flag,big;red;white;blue;old;new;good;other;long;small
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,mask,white;black;big;small;new;old;good;other;long;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,necklace,gold;silver;long;new;old;big;small;other;good;nice
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,painting,big;new;old;good;nice;other;long;small;red;great
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,ring,gold;silver;small;big;new;old;other;round;good;nice
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,statue,big;old;new;white;stone;other;small;good;long;great
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,vase,big;new;old;small;white;glass;other;long;good;nice
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,cloud,big;white;grey;black;other;new;small;good;long;dark
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,earthquake,big;strong;bad;new;old;other;long;great;real;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,fog,big;white;thick;new;old;other;long;small;real;grey
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,lightning,big;strong;bright;new;old;other;long;white;good;fast
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rain,big;hard;new;heavy;long;little;good;cold;bad;much
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rainbow,big;colorful;bright;other;new;good;nice;long;great;high
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,snow,white;big;much;new;cold;other;little;good;long;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;old;other;long;great;real;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;new;old;other;good;long;bad;great
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,tide,high;low;big;new;other;long;small;good;real;fast
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,volcano,big;new;old;active;other;long;great;good;high;real
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;new;other;long;fast;good;bad;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,apple,red;green;big;small;new;other;good;long;sweet;nice
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,banana,yellow;big;new;other;small;good;long;sweet;nice;fresh
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,beef,good;big;red;new;other;long;small;hard;fresh;raw
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,bread,good;white;new;big;brown;other;long;small;fresh;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,broccoli,green;good;fresh;big;new;other;long;small;hard;nice
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,cheese,good;yellow;new;big;old;other;long;small;hard;soft
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,chicken,good;new;big;small;other;long;hard;soft;fresh;white
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,egg,white;good;new;big;small;other;long;hard;soft;round
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,fish,big;new;good;small;other;long;fresh;hard;raw;nice
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,pasta,good;new;big;small;other;long;hard;soft;white;yellow
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,rice,good;white;new;big;small;other;long;hard;soft;fresh
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Food Items,soup,good;hot;new;big;small;other;long;nice;chicken;vegetable
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Human Roles,artist,good;new;young;old;great;other;long;famous;nice;real
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Human Roles,athlete,good;young;old;big;strong;other;long;fast;great;new
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Human Roles,chef,good;new;young;old;great;famous;other;long;nice;big
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Human Roles,doctor,good;new;young;old;other;great;nice;long;big;hard
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Human Roles,engineer,good;new;young;old;other;great;nice;big;hard;long
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Human Roles,farmer,good;old;young;big;small;new;other;long;hard;strong
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Human Roles,lawyer,good;new;young;old;other;great;nice;long;hard;big
gemini-2.0-flash,basic,2.0,VI # Vietnamese,B1,most frequent,Human Roles,musician,good;new;young;old;great;famous;other;long;nice;real
