Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;other;new;same;good;little;much
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,courage,big;good;strong;new;other;same;little;much;possible;real
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,fear,big;bad;strong;new;other;same;little;much;good;real
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,freedom,big;good;new;other;same;little;much;real;possible;important
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,happiness,big;good;new;other;same;little;much;real;possible;important
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,hate,big;bad;strong;new;other;same;little;much;good;real
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,honesty,big;good;new;other;same;little;much;real;possible;important
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,justice,big;good;new;other;same;little;much;real;possible;important
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,knowledge,big;good;new;other;same;little;much;real;possible;important
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,love,big;good;new;other;same;little;much;real;possible;important
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,peace,big;good;new;other;same;little;much;real;possible;important
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Abstract Concepts,wisdom,big;good;new;other;same;little;much;real;possible;important
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;bad;other;same;little;much
gemini-2.0-flash,think-in-native,0.0,FR # French,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;good;bad;other;same;little;much
