Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,anger,big;bad;hot;red;real;true;strong;much;new;hard
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,courage,strong;big;real;true;good;much;hard;new;little;special
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,fear,big;bad;much;real;new;little;strong;good;hard;dark
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,freedom,big;real;true;good;much;new;hard;little;special;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,happiness,big;real;true;much;good;new;little;special;more;great
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,hate,big;bad;much;real;new;strong;true;hard;little;great
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,honesty,big;real;true;good;much;new;hard;important;best;only
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,justice,real;true;big;good;new;much;hard;important;more;best
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,knowledge,big;real;true;good;much;new;hard;important;more;useful
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,love,big;real;true;good;much;new;hard;little;special;more
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,peace,big;real;true;good;much;new;hard;little;important;world
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Abstract Concepts,wisdom,big;real;true;good;much;new;hard;important;more;useful
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;good;bad;loud;church;school;metal
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,candle,small;big;white;new;old;good;wax;hot;light;long
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,carpet,big;small;red;new;old;good;soft;thick;long;expensive
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,coin,small;old;new;gold;silver;metal;money;much;little;round
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,crown,gold;big;small;new;old;beautiful;king;queen;important;special
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,flag,big;small;red;white;blue;new;old;country;national;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,mask,big;small;white;black;new;old;scary;funny;good;face
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,necklace,gold;silver;new;old;beautiful;small;long;expensive;good;special
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;beautiful;good;famous;nice;important;expensive
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,ring,gold;silver;new;old;small;big;beautiful;expensive;wedding;special
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;beautiful;white;stone;famous;important;real
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;beautiful;glass;flower;ceramic;expensive;good
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;grey;rain;new;old;high;low
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,earthquake,big;strong;new;real;bad;dangerous;much;hard;little;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,fog,big;thick;white;grey;much;new;bad;cold;little;hard
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,lightning,big;bright;strong;new;dangerous;fast;loud;much;hard;little
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rain,big;small;hard;soft;new;much;cold;good;bad;heavy
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,rainbow,big;beautiful;new;good;colorful;bright;much;little;high;special
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,snow,big;small;white;cold;new;much;soft;hard;good;bad
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,storm,big;strong;bad;new;much;loud;hard;rain;wind;dangerous
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;new;much;hard;little;scary;real;good
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;strong;sea;much;little;good;bad
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,volcano,big;hot;new;old;dangerous;strong;much;high;hard;real
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;hot;new;much;hard;little;good;bad
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,apple,big;small;red;green;good;bad;sweet;sour;new;old
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,banana,big;small;yellow;good;sweet;new;old;fresh;ripe;many
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,beef,big;small;red;good;new;old;much;expensive;cheap;hard
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,bread,big;small;white;brown;good;new;old;hard;soft;fresh
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,broccoli,big;small;green;good;new;old;much;little;fresh;cooked
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,cheese,big;small;white;yellow;good;new;old;hard;soft;much
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,chicken,big;small;good;new;old;much;cheap;expensive;cooked;raw
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,egg,big;small;white;brown;new;old;good;raw;cooked;chicken
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,fish,big;small;good;new;old;fresh;salt;sweet;cooked;raw
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,pasta,big;small;long;good;new;old;much;little;dry;cooked
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,rice,big;small;white;brown;good;new;old;much;little;cooked
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Food Items,soup,big;hot;good;new;old;much;little;chicken;vegetable;tomato
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,artist,good;bad;new;old;famous;real;true;young;important;great
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,athlete,good;bad;new;young;old;strong;fast;famous;important;real
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,chef,good;bad;new;old;famous;real;french;italian;important;main
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,doctor,good;bad;new;old;young;important;real;true;nice;special
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,engineer,good;new;old;young;important;real;true;hard;big;smart
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,farmer,good;new;old;young;real;hard;big;small;important;local
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,lawyer,good;bad;new;old;young;real;true;important;smart;famous
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,musician,good;bad;new;young;old;famous;real;important;great;true
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,scientist,good;new;old;young;real;important;true;smart;famous;great
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,soldier,good;bad;new;young;old;strong;real;important;brave;special
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,teacher,good;bad;new;old;young;important;real;true;nice;great
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Human Roles,writer,good;bad;new;old;young;famous;real;important;great;true
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,book,big;small;new;old;good;bad;long;short;interesting;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,bridge,big;small;new;old;long;short;strong;high;important;metal
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,drums,big;small;new;old;loud;good;bad;musical;hard;many
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,earth,big;small;round;new;old;good;bad;real;important;green
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,flute,small;new;old;good;musical;silver;long;beautiful;easy;hard
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,key,big;small;new;old;gold;silver;important;metal;house;car
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,knife,big;small;new;old;sharp;good;bad;metal;kitchen;dangerous
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,lock,big;small;new;old;strong;good;bad;metal;important;hard
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,moon,big;small;new;old;full;bright;light;far;round;good
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,pen,big;small;new;old;good;bad;blue;black;red;cheap
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,sun,big;hot;bright;yellow;new;old;good;far;important;strong
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Inanimate Objects,sword,big;small;new;old;sharp;strong;metal;dangerous;long;good
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,cat,big;small;black;white;good;bad;new;old;cute;nice
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,dog,big;small;black;white;good;bad;new;old;cute;nice
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,dolphin,big;small;good;new;old;smart;sea;blue;grey;real
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,elephant,big;grey;new;old;good;strong;real;important;heavy;wild
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,hamster,small;new;young;good;cute;nice;pet;little;real;brown
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,monkey,big;small;new;old;good;bad;funny;smart;real;wild
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,mouse,small;grey;new;young;good;bad;little;real;cute;house
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,peacock,big;new;old;beautiful;colorful;good;real;special;animal;nice
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,rabbit,big;small;new;old;white;brown;good;cute;fast;real
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,shark,big;new;old;dangerous;strong;real;sea;grey;bad;fast
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,snake,big;small;new;old;dangerous;long;green;brown;bad;real
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Neutral Animals,whale,big;new;old;good;sea;blue;grey;strong;real;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,city,big;small;new;old;important;good;bad;beautiful;real;modern
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,desert,big;hot;dry;new;old;real;sand;empty;dangerous;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,forest,big;green;new;old;real;good;important;dark;deep;wild
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,island,big;small;new;old;beautiful;green;sea;good;real;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,lake,big;small;new;old;blue;good;deep;clean;real;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,mountain,big;high;new;old;real;green;snow;hard;important;beautiful
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,ocean,big;deep;blue;new;old;real;good;important;salt;dangerous
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,plain,big;new;old;green;real;flat;empty;good;important;far
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,plateau,big;high;new;old;real;flat;good;important;dry;far
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,river,big;small;long;new;old;blue;good;real;important;deep
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,valley,big;small;new;old;green;good;deep;real;important;beautiful
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Places,village,big;small;new;old;good;quiet;beautiful;real;important;near
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,cactus,big;small;new;old;green;desert;sharp;real;important;hard
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,eggplant,big;small;new;old;purple;good;real;fresh;vegetable;cheap
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,flower,big;small;new;old;beautiful;colorful;good;real;important;nice
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,grass,big;small;new;old;green;good;real;soft;important;nice
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,lettuce,big;small;new;old;green;good;real;fresh;vegetable;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,mushroom,big;small;new;old;good;bad;real;wild;edible;poisonous
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,onion,big;small;new;old;white;good;strong;real;vegetable;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,pepper,big;small;new;old;red;green;black;good;hot;real
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,potato,big;small;new;old;brown;good;real;vegetable;cheap;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,rose,big;small;new;old;red;pink;white;beautiful;good;real
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,tomato,big;small;new;old;red;good;real;vegetable;fresh;cheap
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Plants,tree,big;small;new;old;green;tall;good;real;important;strong
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,ally,good;new;old;strong;real;important;best;true;special;big
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,brother,big;small;new;old;young;older;little;good;bad;real
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,enemy,big;bad;new;old;strong;real;important;dangerous;hard;true
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,father,big;small;new;old;young;older;good;bad;real;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,follower,good;new;old;young;many;few;real;important;strong;true
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,friend,good;new;old;young;real;important;best;true;special;close
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,leader,good;bad;new;old;young;real;important;strong;great;true
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,mother,good;new;old;young;real;important;best;true;nice;great
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,partner,good;new;old;young;real;important;best;true;business;special
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,rival,big;bad;new;old;strong;real;important;hard;true;main
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,sister,big;small;new;old;young;older;good;bad;real;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Social Relationships,stranger,big;new;old;young;good;bad;real;dangerous;important;strange
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,above,high;new;old;good;real;important;far;little;big;small
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,back,big;new;old;good;real;important;far;little;bad;strong
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,below,low;new;old;good;real;important;far;little;big;small
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,east,new;old;good;real;important;far;little;big;main;cold
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,front,big;new;old;good;real;important;far;little;main;small
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,inside,big;new;old;good;real;important;little;small;warm;cold
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,left,new;old;good;real;important;little;small;far;hard;easy
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,north,new;old;good;real;important;far;cold;big;little;main
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,outside,big;new;old;good;real;important;little;small;hot;cold
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,right,new;old;good;real;important;little;small;easy;hard;true
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,south,new;old;good;real;important;far;hot;big;little;main
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Spatial Concepts,west,new;old;good;real;important;far;little;big;main;cold
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,century,big;new;old;good;real;important;long;past;present;future
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,day,big;small;new;old;good;bad;long;short;real;important
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,evening,big;new;old;good;real;important;dark;long;nice;cold
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,hour,big;small;new;old;good;real;important;long;short;fast
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,minute,small;new;old;good;real;important;short;fast;long;many
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,month,big;new;old;good;real;important;long;short;last;next
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,morning,big;new;old;good;real;important;nice;cold;long;short
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,night,big;dark;new;old;good;bad;real;long;short;cold
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,season,big;new;old;good;real;important;four;cold;hot;nice
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,second,small;new;old;good;real;important;fast;short;long;last
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,week,big;small;new;old;good;real;important;long;short;last
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B1,most frequent,Time Concepts,year,big;new;old;good;real;important;long;short;last;next
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,anger,big;bad;hot;real;sudden;much;silent;true;deep;cold
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,courage,great;true;much;real;strong;hard;good;quiet;new;enough
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,fear,big;real;much;little;true;common;bad;great;sudden;deep
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,freedom,much;great;real;political;personal;true;national;new;social;economic
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,happiness,true;great;real;much;little;pure;simple;sudden;big;enough
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,hate,big;true;much;real;strong;common;deep;hard;little;new
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,honesty,true;great;real;much;little;simple;full;enough;total;hard
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,justice,true;social;equal;real;criminal;fair;much;little;new;hard
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,knowledge,great;much;real;good;common;little;new;important;total;enough
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,love,true;great;much;real;first;little;deep;hard;pure;new
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,peace,true;real;much;world;little;new;great;simple;social;political
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Abstract Concepts,wisdom,great;true;much;real;little;old;good;hard;new;simple
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,bell,big;small;church;loud;quiet;old;new;school;real;broken
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,candle,small;big;white;new;old;red;burning;long;short;broken
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,carpet,big;old;new;red;small;soft;hard;clean;dirty;nice
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,coin,old;new;gold;silver;small;big;rare;common;true;false
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,crown,gold;royal;new;old;big;small;real;false;broken;nice
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,flag,national;big;small;new;old;red;white;blue;true;broken
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,mask,new;old;big;small;black;white;red;common;strange;hard
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,necklace,gold;silver;new;old;long;short;big;small;nice;broken
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,painting,old;new;great;small;big;beautiful;real;abstract;good;bad
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,ring,gold;silver;new;old;big;small;wedding;diamond;broken;nice
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;gold;silver;broken;common;famous
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Cultural Artifacts,vase,big;small;new;old;glass;broken;nice;flower;white;red
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,cloud,big;small;white;black;grey;dark;light;rain;storm;new
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,earthquake,big;strong;small;real;bad;good;common;rare;new;old
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,fog,thick;thin;white;heavy;light;real;common;bad;new;old
gemini-2.0-flash,think-in-native,1.0,VI # Vietnamese,B2,most frequent,Environmental Phenomena,lightning,bright;strong;sudden;real;big;small;common;dangerous;new;old
