Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;wild;dark;bitter;fierce;sudden;heavy
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,courage,great;bold;true;brave;strong;real;pure;high;fearless;mighty
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,fear,big;cold;deep;dark;sharp;heavy;sudden;quiet;hidden;strong
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;new;hard;pure;bright;wide;real;precious
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,happiness,pure;warm;bright;big;true;sweet;deep;light;simple;real
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;bitter;cold;heavy;blind;fierce;hidden;wild
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;strong;real;simple;bright;deep;good;fair
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;right;pure;hard;real;high;honest
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;strong;true;vast;rich;important
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;real;soft;kind;endless
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;true;deep;pure;soft;warm;real;gentle
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;strong;old;pure;high;real;wise
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;shiny;old;heavy;bright;golden;sweet;round
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;tall;thin;glowing;quiet;simple
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,carpet,soft;thick;colorful;big;warm;old;beautiful;heavy;clean;patterned
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;heavy;silver;golden;rare;dirty;worn
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;beautiful;old;rich;grand;tall;precious
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,flag,colorful;big;proud;national;bright;waving;tall;strong;simple;bold
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,mask,scary;funny;dark;colorful;strange;old;wooden;hidden;light;small
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;golden;silver;heavy;delicate;expensive;simple;bright
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;bright;dark;small;lovely;detailed
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,ring,small;shiny;golden;silver;beautiful;expensive;simple;round;heavy;bright
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,statue,tall;old;heavy;stone;beautiful;grand;white;big;ancient;strong
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Cultural Artifacts,vase,tall;thin;beautiful;old;delicate;colorful;small;heavy;glass;simple
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,cloud,white;big;soft;dark;heavy;fluffy;high;gray;light;moving
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;powerful;dangerous;loud;deep;terrible;destructive;quick
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;dark;quiet;wet;mysterious;light;gray
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,lightning,bright;quick;sharp;loud;dangerous;strong;sudden;white;powerful;scary
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;soft;strong;sudden;dark;quiet;cool
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;wide;high;lovely;clear;magical;happy
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;beautiful;quiet;wet;pure
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;heavy;scary;wild;sudden;dangerous;cold;powerful
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;scary;sudden;heavy;dark;powerful;sharp;quick
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,tide,high;low;strong;powerful;sudden;dangerous;fast;cold;wet;big
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,volcano,hot;dangerous;big;active;dark;powerful;scary;tall;red;smoky
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;warm;wild;soft;heavy;loud;cool
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,apple,red;sweet;fresh;round;small;juicy;green;hard;tasty;ripe
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,banana,yellow;sweet;long;soft;fresh;ripe;small;tasty;healthy;curved
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,beef,red;fresh;tasty;tough;soft;cooked;raw;juicy;expensive;thick
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,bread,soft;fresh;warm;brown;white;tasty;hard;small;round;crispy
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;tasty;raw;cooked;bitter;thick
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,cheese,yellow;soft;hard;tasty;white;strong;creamy;fresh;old;salty
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,chicken,tasty;soft;fresh;cooked;white;juicy;small;roasted;raw;tender
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,egg,white;small;fresh;hard;soft;round;tasty;yellow;boiled;raw
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,fish,fresh;tasty;small;big;raw;cooked;silver;wet;salty;slippery
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,pasta,soft;tasty;long;short;yellow;cooked;hot;simple;fresh;creamy
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,rice,white;soft;tasty;small;cooked;hot;sticky;fresh;plain;healthy
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;thin;fresh;salty;creamy;light;healthy
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;skilled;poor;rich;unique;passionate
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;tall;skilled;famous;active;tough;energetic
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,chef,skilled;famous;busy;creative;old;young;friendly;strict;talented;experienced
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,doctor,kind;smart;busy;old;young;helpful;skilled;friendly;serious;caring
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,engineer,smart;skilled;young;busy;creative;talented;serious;hard-working;experienced;clever
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,farmer,hard-working;old;poor;strong;kind;busy;simple;friendly;tough;patient
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,lawyer,smart;strict;busy;famous;rich;serious;skilled;young;old;clever
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,musician,talented;famous;young;creative;skilled;passionate;poor;rich;unique;friendly
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,scientist,smart;curious;serious;old;young;skilled;famous;clever;busy;creative
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,soldier,brave;strong;young;tough;loyal;serious;tall;fearless;disciplined;proud
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,teacher,kind;strict;smart;old;young;helpful;patient;friendly;serious;wise
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Human Roles,writer,creative;famous;young;old;talented;poor;rich;clever;unique;passionate
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,book,old;thick;new;small;big;heavy;interesting;boring;colorful;useful
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,bridge,long;old;strong;high;narrow;wide;beautiful;wooden;stone;modern
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,drums,loud;big;heavy;round;old;new;colorful;strong;wooden;noisy
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;old;beautiful;vast;rich;warm;alive
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,flute,small;wooden;old;shiny;light;sweet;thin;beautiful;silver;delicate
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,key,small;old;shiny;heavy;silver;golden;rusty;important;tiny;useful
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,knife,sharp;small;heavy;old;shiny;dangerous;useful;silver;long;thin
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,lock,old;heavy;small;strong;rusty;shiny;silver;broken;tight;secure
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,moon,bright;round;white;big;beautiful;high;pale;quiet;mysterious;cool
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,pen,small;black;blue;old;new;cheap;expensive;thin;useful;light
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,sun,bright;hot;big;yellow;high;warm;strong;beautiful;golden;powerful
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Inanimate Objects,sword,sharp;heavy;old;long;shiny;dangerous;silver;strong;ancient;deadly
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Neutral Animals,cat,small;soft;cute;black;white;lazy;fast;quiet;friendly;wild
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Neutral Animals,dog,big;loyal;friendly;brown;black;fast;strong;cute;loud;active
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Neutral Animals,dolphin,smart;friendly;fast;blue;big;playful;smooth;beautiful;wild;happy
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Neutral Animals,elephant,big;heavy;gray;strong;slow;tall;kind;old;wild;gentle
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Neutral Animals,hamster,small;cute;soft;brown;fast;tiny;active;fluffy;shy;playful
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Neutral Animals,monkey,funny;fast;small;brown;wild;clever;active;noisy;cute;naughty
grok-3,think-in-native,0.0,PS # Pashto,B1,most frequent,Neutral Animals,mouse,small;gray;fast;tiny;quiet;shy;cute;sneaky;soft;quick
