Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;wild;sharp;quick;bad;clear;high;fierce
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,courage,brave;strong;true;good;pure;bold;firm;clear;big;real
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,fear,big;deep;cold;dark;strong;bad;true;wild;high;sharp
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,freedom,free;real;true;good;big;wide;clear;open;pure;strong
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,happiness,good;true;big;warm;deep;bright;pure;real;kind;happy
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;bad;wild;true;hard;fierce;high;cold
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,honesty,true;clear;good;real;strong;pure;deep;bold;firm;kind
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,justice,true;good;fair;strong;clear;bold;pure;real;big;kind
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,knowledge,deep;true;big;clear;strong;pure;good;real;wide;safe
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,love,deep;true;big;warm;pure;kind;good;real;soft;strong
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,peace,calm;true;quiet;good;deep;still;warm;soft;clear;kind
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,wisdom,deep;true;old;good;clear;big;real;strong;pure;wise
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,bell,round;clear;small;big;old;loud;deep;soft;pure;hard
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,candle,small;bright;clear;soft;pure;warm;deep;good;old;light
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,carpet,soft;warm;thick;old;new;bright;clean;deep;big;plain
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,coin,small;round;old;bright;clear;new;shiny;pure;hard;good
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,crown,gold;high;old;round;bright;clear;bold;rich;pure;strong
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,flag,big;bright;clear;red;blue;true;strong;old;pure;bold
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,mask,small;white;clear;old;dark;kind;true;good;soft;pure
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,necklace,small;bright;clear;old;fine;true;good;pure;soft;rich
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,painting,old;bright;clear;real;deep;true;good;small;large;fine
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,ring,small;round;bright;clear;pure;old;good;fine;real;strong
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,statue,big;old;strong;clear;fine;real;deep;true;pure;bold
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,vase,small;clear;fine;old;pure;deep;bright;good;round;soft
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,cloud,white;soft;light;deep;high;big;true;clear;pure;small
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,earthquake,strong;deep;big;wild;true;hard;dark;loud;fast;fierce
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,fog,thick;deep;soft;dark;cold;clear;wide;strong;low;slow
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,lightning,fast;bright;clear;strong;true;wild;high;deep;sharp;quick
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,rain,wet;soft;deep;cold;light;clear;good;hard;real;slow
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,rainbow,bright;good;clear;true;big;deep;soft;warm;pure;high
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;true;clear;good;bright;pure;calm
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,storm,big;wild;deep;strong;fast;dark;bold;true;hard;fierce
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;fast;bold;true;hard;wild;clear;big
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,tide,big;strong;deep;high;true;clear;cold;rough;wild;good
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,volcano,big;hot;deep;wild;strong;true;bold;clear;hard;fierce
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,wind,strong;fast;deep;clear;soft;true;wild;cold;good;high
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,apple,red;big;good;fresh;sweet;round;clear;ripe;soft;new
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,banana,yellow;long;good;sweet;ripe;soft;fresh;clear;big;bright
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,beef,red;good;fresh;thick;raw;hard;strong;deep;tasty;pure
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,bread,fresh;good;soft;warm;white;brown;big;thick;pure;tasty
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,broccoli,green;fresh;good;raw;nice;bright;small;hard;deep;pure
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,cheese,yellow;fresh;good;soft;hard;old;pure;mild;clear;rich
o3-mini,basic,1.0,PL # Polish,B1,most frequent,Food Items,chicken,fresh;good;raw;warm;soft;light;clear;tasty;fine;new
