Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,big;strong;deep;hot;wild;sharp;quick;heavy;fast;burning
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,courage,brave;strong;bold;firm;true;great;pure;honest;clear;steady
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,fear,scary;deep;dark;cold;high;strong;real;sharp;sudden;heavy
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,freedom,free;open;clear;big;wide;true;pure;safe;warm;real
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,happiness,happy;bright;warm;good;clear;deep;strong;pure;calm;soft
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,hate,deep;dark;strong;bad;cold;sharp;fierce;wild;heavy;bitter
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;real;fair;good;strong;kind;bright;direct
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,justice,fair;true;clear;strong;good;real;brave;kind;pure;direct
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,knowledge,deep;vast;true;clear;good;real;broad;rich;old;open
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,love,deep;true;pure;warm;soft;kind;good;strong;real;sweet
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,peace,calm;quiet;deep;clear;pure;soft;true;good;safe;warm
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Abstract Concepts,wisdom,old;deep;true;clear;good;real;broad;kind;wise;rich
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,bell,round;small;old;clear;high;loud;bright;real;neat;good
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,candle,small;light;bright;soft;warm;old;clear;neat;calm;fragile
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,carpet,soft;thick;clean;bright;neat;warm;new;rich;deep;long
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,coin,small;old;round;bright;pure;clear;neat;thin;real;new
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,crown,gold;bright;rich;old;neat;clear;new;strong;royal;small
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,flag,red;blue;bright;neat;clear;old;true;strong;bold;wide
o3-mini,basic,1.0,TH # Thai,B1,most frequent,Cultural Artifacts,mask,old;dark;neat;clear;white;true;bold;new;strong;plain
