Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,anger,great;deep;cold;hot;bitter;suppressed;uncontrolled;simmering;blind;sudden
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,courage,great;true;moral;physical;quiet;unwavering;unexpected;remarkable;steely;indomitable
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,fear,great;deep;abiding;irrational;paralyzing;consuming;groundless;overwhelming;primordial;nameless
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,freedom,political;personal;economic;complete;limited;individual;basic;fundamental;democratic;guaranteed
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,happiness,great;simple;genuine;lasting;infectious;unexpected;quiet;complete;inner;fleeting
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,hate,pure;utter;blind;deep-seated;intense;burning;consuming;irrational;poisonous;corrosive
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,honesty,complete;brutal;genuine;unwavering;questionable;refreshing;essential;intrinsic;implicit;fundamental
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,justice,social;economic;criminal;equal;fair;swift;impartial;restorative;rough;divine
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,knowledge,great;vast;extensive;practical;deep;theoretical;expert;specialist;encyclopedic;working
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,love,true;deep;unconditional;passionate;puppy;maternal;familial;enduring;selfless;forbidden
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,peace,world;lasting;fragile;uneasy;internal;personal;transient;profound;enforced;relative
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Abstract Concepts,wisdom,great;ancient;acquired;practical;innate;profound;common;worldly;intuitive;traditional
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,bell,loud;clear;silver;bronze;church;school;small;tinkling;signaling;distant
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,candle,small;tall;burning;flickering;white;scented;votive;beeswax;stubby;taper
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,carpet,thick;oriental;Persian;woolen;red;patterned;antique;shag;threadbare;expensive
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,coin,gold;silver;bronze;old;ancient;valuable;foreign;lucky;commemorative;counterfeit
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;silver;imperial;bejeweled;diamond;ceremonial;king's;queen's
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,flag,national;waving;white;red;blue;colorful;tattered;symbolic;ceremonial;historic
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,mask,scary;painted;decorative;tribal;theatrical;Venetian;surgical;oxygen;protective;Halloween
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;diamond;beaded;antique;precious;costume;charm;elaborate
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,painting,famous;beautiful;landscape;abstract;portrait;impressionist;old;watercolor;oil;original
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;wedding;engagement;precious;antique;ruby;jeweled;signet
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;ancient;life-size;tall;monumental;religious;commemorative;historical
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Cultural Artifacts,vase,glass;ceramic;tall;elegant;antique;fragile;porcelain;flower;decorative;empty
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,cloud,dark;gray;white;fluffy;rain;storm;heavy;towering;distant;ominous
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,earthquake,powerful;strong;devastating;major;minor;unexpected;sudden;violent;aftershock;impending
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,fog,thick;dense;heavy;pea-soup;morning;sea;patchy;lifting;rolling;lingering
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,lightning,bright;sudden;forked;sheet;jagged;dangerous;close;distant;ground;spectacular
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rain,heavy;light;hard;torrential;steady;gentle;constant;cold;warm;refreshing
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rainbow,bright;colorful;vibrant;double;arched;fleeting;full;complete;faint;delicate
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,snow,heavy;light;fresh;falling;deep;driven;powdery;wet;melting;swirling
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,storm,severe;heavy;powerful;violent;brewing;electrical;approaching;raging;winter;summer
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,thunder,loud;deep;rolling;distant;crashing;ominous;echoing;sudden;booming;heavy
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,tide,high;low;spring;neap;rising;falling;incoming;outgoing;strong;coastal
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,volcano,active;dormant;erupting;extinct;volcanic;large;nearby;dangerous;smoking;threatening
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;gentle;fierce;light;prevailing;gusty;north;easterly
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,apple,red;green;crisp;juicy;ripe;sweet;sour;tart;Granny;Macintosh
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,banana,yellow;ripe;green;fresh;sweet;Cavendish;overripe;bruised;plantain;dried
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,beef,tender;juicy;prime;ground;lean;roast;grilled;organic;aged;tough
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,bread,fresh;white;brown;wholemeal;sourdough;toasted;stale;rye;sliced;crusty
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,broccoli,green;fresh;steamed;cooked;raw;organic;healthy;florets;boiled;wilted
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,cheese,cheddar;hard;soft;blue;strong;mature;mild;Swiss;grated;creamy
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,chicken,fried;grilled;roast;cooked;raw;organic;free-range;boiled;tender;breaded
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,egg,fried;boiled;scrambled;poached;raw;fresh;organic;hard-boiled;runny;cracked
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,fish,fresh;salt;grilled;fried;cooked;raw;bony;flaky;battered;whole
gemini-2.0-flash,english-monolingual,2.0,BN # Bengali,B1,most frequent,Food Items,pasta,cooked;dry;fresh;durum;wheat;long;short;Italian;spaghetti;penne
