Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,anger,big;bad;hot;strong;much;real;true;new;long;same
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,courage,big;strong;true;real;much;good;new;long;same;little
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,fear,big;much;strong;real;true;new;long;same;little;bad
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,freedom,big;much;real;true;new;long;same;good;little;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,happiness,big;much;real;true;new;long;same;good;little;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,hate,big;much;strong;real;true;new;long;same;little;bad
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,honesty,big;much;real;true;new;long;same;good;little;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,justice,big;much;real;true;new;long;same;good;little;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,knowledge,big;much;real;true;new;long;same;good;little;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,love,big;much;real;true;new;long;same;good;little;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,peace,big;much;real;true;new;long;same;good;little;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,wisdom,big;much;real;true;new;long;same;good;little;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,bell,big;small;new;old;good;bad;long;same;metal;gold
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,candle,big;small;new;old;good;bad;long;same;white;red
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,carpet,big;small;new;old;good;bad;long;same;red;blue
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,coin,big;small;new;old;good;bad;long;same;gold;silver
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,crown,big;small;new;old;good;bad;long;same;gold;silver
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,flag,big;small;new;old;good;bad;long;same;red;white
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,mask,big;small;new;old;good;bad;long;same;white;black
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,necklace,big;small;new;old;good;bad;long;same;gold;silver
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,painting,big;small;new;old;good;bad;long;same;beautiful;nice
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,ring,big;small;new;old;good;bad;long;same;gold;silver
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,statue,big;small;new;old;good;bad;long;same;stone;metal
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,vase,big;small;new;old;good;bad;long;same;glass;ceramic
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,cloud,big;small;new;old;good;bad;long;same;white;grey
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,earthquake,big;small;new;old;good;bad;long;same;strong
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,fog,big;small;new;old;good;bad;long;same;white;thick
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,lightning,big;small;new;old;good;bad;long;same;bright;strong
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rain,big;small;new;old;good;bad;long;same;heavy;light
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rainbow,big;small;new;old;good;bad;long;same;beautiful;nice
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,snow,big;small;new;old;good;bad;long;same;white;cold
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,storm,big;small;new;old;good;bad;long;same;strong
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,thunder,big;small;new;old;good;bad;long;same;loud;strong
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,tide,big;small;new;old;good;bad;long;same;high;low
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,volcano,big;small;new;old;good;bad;long;same;hot;strong
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,wind,big;small;new;old;good;bad;long;same;strong;cold
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,apple,big;small;new;old;good;bad;long;same;red;green
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,banana,big;small;new;old;good;bad;long;same;yellow;sweet
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,beef,big;small;new;old;good;bad;long;same;red;fresh
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,bread,big;small;new;old;good;bad;long;same;white;brown
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,broccoli,big;small;new;old;good;bad;long;same;green;fresh
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,cheese,big;small;new;old;good;bad;long;same;yellow;white
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,chicken,big;small;new;old;good;bad;long;same;white;fresh
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,egg,big;small;new;old;good;bad;long;same;white;brown
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,fish,big;small;new;old;good;bad;long;same;fresh;salty
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,pasta,big;small;new;old;good;bad;long;same;yellow;dry
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,rice,big;small;new;old;good;bad;long;same;white;dry
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Food Items,soup,big;small;new;old;good;bad;long;same;hot;cold
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Human Roles,artist,big;small;new;old;good;bad;long;same;famous
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Human Roles,athlete,big;small;new;old;good;bad;long;same;strong;fast
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Human Roles,chef,big;small;new;old;good;bad;long;same;famous
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Human Roles,doctor,big;small;new;old;good;bad;long;same;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Human Roles,engineer,big;small;new;old;good;bad;long;same;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Human Roles,farmer,big;small;new;old;good;bad;long;same;hard;important
gemini-2.0-flash,think-in-native,0.0,ZH # Mandarin,B1,most frequent,Human Roles,lawyer,big;small;new;old;good;bad;long;same;important
