Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,anger,intense;burning;fierce;uncontrollable;deep;raw;bitter;sudden;suppressed;explosive
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,courage,bold;fearless;brave;heroic;daring;valiant;steadfast;resolute;unwavering;gallant
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,fear,overwhelming;paralyzing;chilling;deep-seated;irrational;haunting;gripping;primal;lingering;acute
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,freedom,absolute;cherished;hard-won;liberating;boundless;precious;fundamental;exhilarating;true;personal
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,happiness,pure;radiant;infectious;genuine;lasting;simple;profound;blissful;heartfelt;immense
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,hate,intense;venomous;bitter;deep-rooted;consuming;blind;fierce;unrelenting;toxic;passionate
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;complete;sincere;raw;admirable;rare;steadfast;transparent
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,justice,fair;impartial;righteous;overdue;swift;blind;hard-fought;moral;equitable;deserved
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,knowledge,vast;deep;profound;extensive;practical;specialized;invaluable;ancient;theoretical;comprehensive
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,love,unconditional;passionate;tender;enduring;selfless;romantic;deep;true;devoted;eternal
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,peace,serene;lasting;fragile;inner;quiet;harmonious;elusive;profound;calm;global
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Abstract Concepts,wisdom,timeless;profound;hard-earned;ancient;practical;insightful;deep;invaluable;thoughtful;enlightened
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,bell,loud;clear;resonant;melodic;antique;brass;tiny;ceremonial;warning;cheerful
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,candle,flickering;scented;warm;delicate;glowing;tall;decorative;romantic;soft;handmade
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,carpet,plush;soft;colorful;worn;thick;patterned;luxurious;oriental;shaggy;durable
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,coin,shiny;old;rare;valuable;silver;gold;commemorative;worn;small;collectible
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;heavy;ornate;ancient;ceremonial;majestic;symbolic;glittering
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,flag,national;waving;proud;tattered;colorful;symbolic;historic;bold;official;vibrant
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,mask,mysterious;eerie;decorative;tribal;painted;creepy;elaborate;hidden;ceremonial;protective
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,necklace,delicate;elegant;sparkling;gold;silver;beaded;vintage;intricate;precious;heirloom
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,painting,beautiful;abstract;realistic;vibrant;classic;modern;detailed;expressive;famous;colorful
grok-3,english-monolingual,0.0,GA # Irish,B1,most frequent,Cultural Artifacts,ring,shiny;gold;silver;diamond;engagement;simple;ornate;vintage;precious;engraved
