Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;fierce;wild;bitter;sharp;sudden;intense
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,courage,great;brave;bold;true;high;pure;real;amazing;fearless;powerful
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,fear,dark;cold;big;heavy;silent;strange;terrible;hidden;deep;constant
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,freedom,full;sweet;hard;new;bright;open;precious;true;long;beautiful
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,happiness,warm;pure;simple;great;bright;deep;real;endless;sweet;joyful
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,hate,strong;blind;cold;dark;bitter;harsh;deep;cruel;silent;angry
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,honesty,clear;true;pure;strong;bright;real;simple;open;good;fair
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,justice,fair;strong;true;hard;clear;right;pure;high;strict;equal
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;vast;rich;strong;basic;important
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,love,warm;deep;true;sweet;pure;strong;endless;gentle;kind;beautiful
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;deep;true;soft;pure;long;bright;gentle
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Abstract Concepts,wisdom,deep;great;old;true;clear;high;strong;quiet;rare;pure
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;shiny;old;golden;heavy;sweet;round;bright
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,candle,warm;small;bright;soft;white;glowing;tiny;old;thin;beautiful
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,carpet,soft;thick;colorful;warm;old;big;clean;heavy;red;patterned
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;silver;heavy;rare;golden;dirty;valuable
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;big;bright;rich;elegant
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,flag,bright;colorful;high;proud;big;national;waving;old;strong;bold
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,mask,strange;dark;scary;colorful;old;funny;heavy;wooden;hidden;mysterious
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;golden;expensive;delicate;silver;heavy;elegant;lovely
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;bright;lovely;dark;detailed;unique
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,ring,small;shiny;golden;beautiful;expensive;silver;tiny;round;lovely;old
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,statue,tall;old;heavy;stone;beautiful;big;ancient;white;strong;silent
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Cultural Artifacts,vase,delicate;beautiful;old;tall;glass;colorful;thin;heavy;lovely;elegant
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,cloud,white;soft;big;dark;heavy;fluffy;high;grey;moving;thick
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,earthquake,strong;sudden;scary;powerful;dangerous;terrible;loud;deep;violent;awful
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;silent;dark;wet;mysterious;grey;dense
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,lightning,bright;fast;sharp;loud;scary;white;powerful;sudden;dangerous;wild
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;soft;strong;endless;dark;fresh;sudden
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,rainbow,colorful;beautiful;bright;rare;lovely;high;magical;clear;vivid;amazing
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;beautiful;thick;wet;pure;silent
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;wild;heavy;scary;powerful;sudden;dangerous;fierce
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,thunder,loud;deep;strong;scary;sudden;powerful;dark;heavy;wild;frightening
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,tide,high;low;strong;powerful;fast;dangerous;wild;cold;moving;rough
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,volcano,hot;dangerous;tall;active;powerful;dark;red;scary;ancient;huge
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;loud;wild;soft;warm;sharp;gentle;heavy
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,apple,red;sweet;fresh;round;juicy;green;small;crunchy;ripe;delicious
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,banana,yellow;sweet;soft;long;fresh;ripe;small;healthy;tasty;curved
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,beef,fresh;red;tasty;tender;thick;juicy;cooked;spicy;heavy;soft
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,bread,soft;fresh;warm;white;brown;tasty;thick;crunchy;old;homemade
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;tasty;raw;cooked;bitter;light
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,cheese,yellow;soft;creamy;strong;tasty;white;hard;melted;old;rich
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,chicken,fresh;tender;tasty;cooked;spicy;white;juicy;roasted;soft;small
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,egg,white;fresh;small;hard;soft;yellow;boiled;round;tasty;raw
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,fish,fresh;tasty;small;silver;wet;cooked;raw;big;salty;healthy
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,pasta,soft;tasty;hot;long;yellow;creamy;spicy;fresh;thick;simple
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,rice,white;soft;tasty;hot;sticky;long;short;fresh;simple;healthy
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;light;creamy;spicy;fresh;clear;healthy
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;skilled;unique;poor;passionate;brilliant
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;tall;skilled;tough;famous;energetic;brave
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,chef,skilled;famous;busy;creative;old;kind;strict;talented;funny;passionate
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,doctor,kind;smart;busy;old;helpful;strict;famous;young;caring;gentle
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,engineer,smart;skilled;young;busy;creative;talented;hard-working;clever;serious;technical
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,farmer,hard-working;kind;old;poor;strong;simple;busy;friendly;wise;honest
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,lawyer,smart;strict;famous;busy;rich;young;clever;serious;tough;fair
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,musician,talented;famous;young;creative;passionate;skilled;loud;unique;poor;brilliant
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,scientist,smart;clever;curious;busy;old;famous;serious;creative;wise;talented
grok-3,think-in-native,1.0,BN # Bengali,B1,most frequent,Human Roles,soldier,brave;strong;young;tough;tall;loyal;serious;fearless;proud;hard-working
