Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;sudden;great;blind;raw;intense;quiet;bitter
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;bold;quiet;sudden;big;new;old
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,fear,great;deep;sudden;cold;dark;strong;quick;big;real;bad
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,freedom,great;true;new;full;big;strong;quick;old;simple;clear
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,happiness,great;true;full;big;new;old;simple;quick;strong;real
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;bitter;great;cold;quick;old;new;bad
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,honesty,true;full;simple;great;strong;quick;new;old;clear;real
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,justice,true;fair;great;strong;quick;new;old;simple;full;real
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,knowledge,great;deep;new;old;simple;strong;quick;full;real;clear
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,love,true;great;deep;strong;new;old;simple;quick;full;real
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,peace,true;great;quiet;full;new;old;simple;strong;quick;real
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;old;new;simple;strong;quick;full;real
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;quiet;shiny;broken;metal;round
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;hot;wax;long;short;colored
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;hard;colorful;dirty;clean;thick
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;dirty;metal;round;heavy;light;gold
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,crown,big;old;new;shiny;gold;heavy;royal;broken;simple;fancy
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;national;waving;high;low;red
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;scary;funny;black;white;plastic;wooden
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;shiny;gold;silver;long;short;pretty
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;famous;simple;dark;bright
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;shiny;gold;silver;simple;fancy;broken
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;tall;short;famous;broken
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;broken;colorful;simple;tall;short
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Environmental Phenomena,cloud,big;small;white;gray;dark;light;high;low;fluffy;fast
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;deep;bad;quick;long;short;real;old
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Environmental Phenomena,fog,thick;thin;gray;white;cold;wet;heavy;light;early;late
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;sudden;white;hot;dangerous;quick;long;short
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;quick;long;short;wet;soft
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Environmental Phenomena,rainbow,bright;colorful;beautiful;big;small;clear;rare;full;short;long
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;fresh;deep;wet;dry;pure
grok-3-mini,think-in-native,0.0,JA # Japanese,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;fast;dark;wet;loud;quick;long;short
