Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,anger,burning;seething;righteous;uncontrollable;sudden;simmering;quiet;suppressed;volcanic;consuming
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,courage,great;unwavering;quiet;fierce;newfound;moral;physical;reckless;blind;remarkable
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,fear,deep;irrational;crippling;paralyzing;underlying;nameless;primal;overwhelming;gnawing;constant
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,freedom,hard-won;newfound;basic;essential;limited;unrestricted;conditional;qualified;political;economic
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,happiness,pure;simple;fleeting;infectious;childlike;unconditional;quiet;enduring;true;genuine
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,hate,bitter;irrational;consuming;visceral;deep-seated;ingrained;abiding;intense;blind;unrelenting
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,honesty,brutal;refreshing;unwavering;complete;fundamental;simple;painful;earned;demonstrable;questionable
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,justice,blind;social;restorative;equal;swift;fair;rough;legal;true;delayed
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,knowledge,vast;specialized;practical;working;empirical;theoretical;tacit;esoteric;shared;common
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,love,unconditional;passionate;enduring;true;requited;unrequited;brotherly;familial;maternal;platonic
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,peace,lasting;fragile;uneasy;global;international;internal;domestic;superficial;genuine;negotiated
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Abstract Concepts,wisdom,accumulated;acquired;intuitive;ancient;worldly;practical;innate;quiet;demonstrated;scholarly
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,bell,church;brass;bronze;dinner;school;hand;crystal;electronic;cracked;antique
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,candle,scented;beeswax;soy;paraffin;decorative;altar;emergency;votive;flickering;long
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;shag;wool;synthetic;Turkish;patterned;woven;colorful;expensive
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,coin,gold;silver;rare;collectible;antique;commemorative;foreign;lucky;minted;counterfeit
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,crown,jeweled;gold;silver;royal;coronation;diamond;ornate;ceremonial;ivy;bejeweled
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,flag,national;state;rebel;white;waving;tattered;faded;iconic;decorative;striped
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,mask,surgical;painted;protective;theatrical;decorative;Venetian;ritualistic;Halloween;plastic;ceramic
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,necklace,beaded;gold;silver;pearl;diamond;statement;delicate;antique;gemstone;tribal
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,painting,oil;watercolor;abstract;landscape;portrait;impressionist;framed;famous;unfinished;historical
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,ring,gold;silver;diamond;engagement;wedding;promise;antique;ornate;jeweled;plain
gemini-2.0-flash,english-monolingual,2.0,FA # Persian,B1,most frequent,Cultural Artifacts,statue,bronze;marble;granite;commemorative;stone;monumental;life-sized;antique;weathered;iconic
