Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,anger,great;blind;deep;intense;cold;irrational;bitter;burning;uncontrollable;righteous
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,courage,great;fierce;unwavering;quiet;moral;physical;true;inspiring;remarkable;incredible
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,fear,great;overwhelming;irrational;deep;intense;paralyzing;lingering;primal;genuine;real
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,freedom,great;complete;political;personal;economic;religious;hard-won;ultimate;illusory;qualified
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,happiness,great;true;pure;simple;quiet;complete;genuine;unexpected;contagious;childlike
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,hate,deep;intense;blind;irrational;pure;abiding;passionate;consuming;visceral;utter
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,honesty,brutal;complete;refreshing;unwavering;pure;utmost;incredible;simple;occasional
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,justice,social;criminal;blind;swift;equal;fair;impartial;restorative;environmental;rough
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,knowledge,great;profound;detailed;specialized;general;practical;esoteric;empirical;intuitive;theoretical
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,love,true;great;deep;unconditional;passionate;brotherly;requited;unrequited;romantic;first
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,peace,world;lasting;inner;fragile;uneasy;negotiated;sustained;relative;profound;temporary
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Abstract Concepts,wisdom,great;ancient;accumulated;practical;proverbial;conventional;worldly;collective;discerning;intuitive
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,bell,loud;clear;ringing;church;small;school;brass;warning;silver;electronic
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,candle,burning;wax;small;tall;white;scented;beeswax;drippy;decorative;votive
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,carpet,oriental;Persian;wool;thick;soft;worn;red;patterned;luxurious;expensive
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,coin,gold;silver;bronze;old;rare;valuable;counterfeit;commemorative;foreign;lucky
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,crown,golden;jeweled;royal;ceremonial;ancient;silver;heavy;bejeweled;diamond;ornate
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,flag,national;red;white;blue;waving;flying;tattered;political;historical;signal
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,mask,facial;surgical;protective;plastic;white;ornate;theatrical;ceremonial;decorated;feathered
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,necklace,gold;silver;pearl;beaded;diamond;precious;long;delicate;costume;gemstone
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,painting,oil;abstract;watercolor;landscape;portrait;impressionist;modern;original;classical;beautiful
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,ring,gold;silver;wedding;diamond;engagement;precious;signet;class;antique;jeweled
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,statue,bronze;marble;stone;tall;large;classical;modern;commemorative;equestrian;religious
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Cultural Artifacts,vase,glass;ceramic;porcelain;antique;crystal;tall;decorative;flower;valuable;painted
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,cloud,dark;white;grey;fluffy;rain;thunder;ominous;low;puffy;gathering
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,earthquake,powerful;major;devastating;unexpected;sudden;local;Richter;undersea;tremor;aftershock
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,fog,thick;dense;heavy;sea;pea-soup;mysterious;morning;eerie;lingering;patchy
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,lightning,bright;sudden;forked;sheet;blinding;distant;powerful;electric;atmospheric;terrifying
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,rain,heavy;hard;light;gentle;pouring;torrential;steady;acid;constant;cleansing
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;double;beautiful;vibrant;faint;shimmering;ethereal;arc;promising
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,snow,heavy;light;falling;fresh;white;deep;driven;drifting;soft;powdery
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,storm,severe;winter;tropical;electrical;approaching;gathering;violent;raging;sudden;unexpected
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,thunder,loud;booming;rolling;distant;crashing;sudden;echoing;ominous;close;heavy
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,tide,high;low;incoming;outgoing;strong;spring;neap;coastal;full;receding
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,volcano,active;dormant;erupting;volcanic;live;extinct;island;ancient;imposing;smoking
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Environmental Phenomena,wind,strong;cold;gentle;prevailing;warm;easterly;northerly;gusty;chilling;refreshing
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Food Items,apple,red;green;crisp;sweet;tart;ripe;juicy;fresh;golden;delicious
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Food Items,banana,yellow;ripe;sweet;green;Cavendish;small;overripe;soft;organic;Chiquita
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Food Items,beef,ground;lean;prime;roast;tender;rare;cooked;grilled;raw;aged
gemini-2.0-flash,english-monolingual,2.0,TH # Thai,B1,most frequent,Food Items,bread,white;whole-wheat;sourdough;rye;fresh;crusty;stale;homemade;toasted;sliced
