Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,anger,intense;sudden;bitter;simmering;blind;righteous;quiet;uncontrollable;pent-up;burning
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,courage,quiet;fierce;great;unwavering;unexpected;moral;physical;remarkable;boundless;true
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,fear,intense;irrational;deep-seated;overwhelming;crippling;constant;nameless;lurking;unfounded;genuine
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,freedom,political;economic;individual;religious;basic;national;hard-won;conditional;illusory;qualified
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,happiness,pure;simple;infectious;fleeting;lasting;genuine;unconditional;shared;inner;childlike
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,hate,deep;blind;irrational;consuming;intense;abiding;bitter;violent;ingrained;passionate
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,honesty,brutal;complete;unwavering;refreshing;admirable;absolute;fundamental;sincere;painful;unquestionable
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,justice,social;criminal;restorative;economic;environmental;rough;swift;fair;impartial;blind
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,knowledge,vast;practical;scientific;specialized;extensive;esoteric;tacit;firsthand;common;expert
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,love,unconditional;romantic;brotherly;maternal;forbidden;selfless;requited;platonic;familial;undying
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,peace,lasting;fragile;uneasy;global;inner;relative;hard-won;enforced;spiritual;cold
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Abstract Concepts,wisdom,practical;ancient;acquired;accumulated;inner;enduring;profound;innate;collective;traditional
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Cultural Artifacts,bell,clear;loud;ringing;church;small;school;brass;bronze;deep;distant
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Cultural Artifacts,candle,flickering;burning;scented;wax;small;tall;colorful;white;beeswax;drippy
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Cultural Artifacts,carpet,Persian;oriental;thick;shag;woven;patterned;red;wool;expensive;worn
gemini-2.0-flash,english-monolingual,2.0,FR # French,B1,most frequent,Cultural Artifacts,coin,gold;silver;copper;ancient;minted;rare;collectible;counterfeit;lucky;worn
