Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,anger,big;bad;hot;hard;long;new;real;strong;true;young
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,courage,big;good;great;hard;little;more;much;real;strong;true
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,fear,big;bad;deep;great;hard;little;more;much;real;strong
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,freedom,big;good;great;hard;important;little;more;much;real;strong
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,happiness,big;good;great;hard;little;more;much;real;strong;true
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,hate,big;bad;deep;great;hard;little;more;much;real;strong
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,honesty,big;good;great;hard;little;more;much;real;strong;true
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,justice,big;good;great;hard;important;little;more;much;real;strong
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,knowledge,big;good;great;hard;important;little;more;much;real;strong
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,love,big;good;great;hard;little;more;much;real;strong;true
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,peace,big;good;great;hard;little;more;much;real;strong;true
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Abstract Concepts,wisdom,big;good;great;hard;little;more;much;real;strong;true
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,bell,big;old;good;little;new;small;loud;church;metal;nice
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,candle,big;new;old;good;little;white;red;nice;small;long
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,carpet,big;old;new;good;red;blue;nice;small;long;soft
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,coin,old;new;gold;silver;small;big;good;little;round;foreign
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,crown,gold;big;old;new;good;little;nice;small;beautiful;royal
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,flag,big;old;new;good;little;red;blue;white;small;national
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,mask,big;old;new;good;little;black;white;small;scary;strange
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,necklace,gold;silver;new;good;little;nice;small;beautiful;long;simple
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,painting,big;old;new;good;little;nice;small;beautiful;long;abstract
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,ring,gold;silver;new;good;little;nice;small;beautiful;round;simple
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,statue,big;old;new;good;little;nice;small;beautiful;white;stone
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,vase,big;old;new;good;little;nice;small;beautiful;white;glass
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,cloud,big;white;grey;dark;small;nice;bad;good;heavy;rain
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,earthquake,big;bad;strong;long;new;old;good;little;more;much
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,fog,big;thick;grey;white;small;bad;good;heavy;cold;dark
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,lightning,big;bright;fast;strong;good;little;scary;dangerous;loud;close
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,rain,big;hard;long;small;heavy;good;bad;cold;warm;nice
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,rainbow,big;nice;beautiful;colorful;bright;good;little;high;long;new
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,snow,big;white;cold;new;little;good;soft;nice;wet;heavy
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,storm,big;bad;strong;long;new;old;good;little;hard;heavy
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,thunder,big;loud;strong;good;little;scary;dangerous;close;far;long
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,tide,big;high;low;new;old;good;little;strong;weak;fast
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,volcano,big;old;new;good;little;nice;small;dangerous;active;hot
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Environmental Phenomena,wind,big;strong;cold;hot;good;little;nice;soft;hard;fast
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,apple,red;green;good;big;small;new;old;sweet;nice;fresh
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,banana,yellow;good;big;small;new;old;sweet;nice;soft;ripe
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,beef,good;big;small;new;old;red;nice;cheap;expensive;fresh
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,bread,good;big;small;new;old;white;brown;fresh;nice;hard
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,broccoli,green;good;big;small;new;old;fresh;nice;cheap;healthy
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,cheese,good;big;small;new;old;white;yellow;hard;soft;tasty
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,chicken,good;big;small;new;old;fresh;nice;cheap;white;roast
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,egg,good;big;small;new;old;white;brown;fresh;hard;soft
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,fish,good;big;small;new;old;fresh;nice;cheap;white;blue
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,pasta,good;big;small;new;old;white;yellow;fresh;nice;hard
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,rice,good;big;small;new;old;white;brown;fresh;nice;cheap
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Food Items,soup,good;hot;big;small;new;old;fresh;nice;cheap;tasty
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,artist,good;big;small;new;old;famous;nice;young;talented;great
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,athlete,good;big;small;new;old;fast;nice;young;strong;great
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,chef,good;big;small;new;old;famous;nice;young;great;important
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,doctor,good;big;small;new;old;nice;young;great;important;happy
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,engineer,good;big;small;new;old;nice;young;great;important;smart
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,farmer,good;big;small;new;old;nice;young;hard;strong;poor
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,lawyer,good;big;small;new;old;nice;young;great;important;smart
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,musician,good;big;small;new;old;famous;nice;young;great;talented
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,scientist,good;big;small;new;old;nice;young;great;important;smart
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,soldier,good;big;small;new;old;nice;young;strong;brave;important
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,teacher,good;big;small;new;old;nice;young;great;important;happy
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Human Roles,writer,good;big;small;new;old;famous;nice;young;great;talented
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,book,good;big;small;new;old;interesting;nice;long;short;hard
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,bridge,big;old;new;long;small;nice;great;important;strong;safe
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,drums,big;old;new;loud;small;nice;hard;soft;good;bad
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,earth,big;old;new;good;small;green;blue;nice;round;hard
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,flute,old;new;good;small;nice;long;short;beautiful;silver;wooden
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,key,old;new;good;small;nice;big;metal;important;house;car
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,knife,old;new;good;small;nice;big;sharp;dangerous;metal;kitchen
gemini-2.0-flash,basic,1.0,PL # Polish,B1,most frequent,Inanimate Objects,lock,old;new;good;small;nice;big;strong;important;metal;hard
