Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,anger,strong;hot;deep;quick;wild;heavy;bitter;raw;fierce;sudden
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,courage,brave;strong;bold;true;firm;solid;clear;pure;deep;noble
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,fear,big;strong;deep;sudden;wild;cold;real;dark;heavy;true
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,freedom,open;clear;real;true;high;wide;free;bright;good;grand
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,happiness,bright;warm;true;good;pure;deep;strong;clear;constant;nice
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;cold;harsh;dark;wild;sharp;raw;fierce
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;real;good;fair;open;kind;solid;simple
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,justice,fair;true;good;clear;strong;solid;real;kind;pure;equal
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,knowledge,deep;clear;high;real;good;pure;old;strong;bright;true
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;good;warm;real;kind;bright;sweet
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,peace,calm;pure;deep;true;real;good;clear;light;quiet;kind
o3-mini,basic,1.0,DE # German,B1,most frequent,Abstract Concepts,wisdom,old;deep;true;good;wise;clear;calm;real;kind;solid
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,bell,small;round;loud;clear;bright;old;heavy;plain;soft;metal
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,candle,small;bright;soft;warm;simple;old;clear;thin;light;calm
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,carpet,soft;old;warm;nice;thick;clean;bright;neat;real;good
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,coin,small;round;shiny;old;bright;clear;hard;real;good;simple
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,crown,big;old;royal;bright;shiny;clear;strong;pure;true;grand
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,flag,red;blue;bright;clear;strong;high;true;neat;plain;bold
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,mask,plain;white;old;dark;thin;soft;clear;smooth;real;simple
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,necklace,small;bright;fine;clear;pure;simple;old;good;neat;pretty
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,painting,old;bright;clear;fine;real;good;neat;deep;pure;true
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,ring,small;round;bright;clear;fine;real;pure;old;good;neat
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,statue,big;old;strong;clear;fine;true;pure;solid;bold;neat
o3-mini,basic,1.0,DE # German,B1,most frequent,Cultural Artifacts,vase,small;old;clear;fine;real;bright;neat;pure;good;simple
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,cloud,white;soft;light;high;slow;round;big;clear;pure;low
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,earthquake,big;strong;deep;real;sudden;hard;fierce;bold;rough;true
o3-mini,basic,1.0,DE # German,B1,most frequent,Environmental Phenomena,fog,thick;soft;dark;deep;cold;low;slow;heavy;real;gray
