Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;wild;dark;quick;bitter;fierce;loud;heavy
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,courage,brave;bold;great;true;high;strong;pure;real;inner;quiet
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,fear,big;cold;dark;deep;sudden;sharp;silent;hidden;strong;terrible
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,freedom,full;true;sweet;hard;new;personal;complete;real;basic;long
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,happiness,pure;bright;warm;simple;true;great;deep;real;soft;endless
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;bitter;cold;fierce;blind;heavy;hidden;cruel
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;simple;real;strong;open;full;basic;good
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,justice,fair;true;strong;real;equal;clear;hard;pure;high;moral
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;basic;clear;strong;new;old;important
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;real;endless;soft;kind
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,peace,quiet;calm;true;deep;long;real;inner;sweet;full;gentle
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,wisdom,deep;great;old;true;clear;strong;quiet;real;high;pure
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;heavy;golden;bright;sweet;metal
grok-3,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;long;thin;glowing;red;quiet
