Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,anger,strong;intense;deep;hot;burning;wild;sudden;bitter;fierce;uncontrollable
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,courage,great;brave;bold;fearless;strong;powerful;heroic;amazing;true;inspiring
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,fear,big;dark;cold;heavy;terrible;awful;real;deep;hidden;constant
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,freedom,full;pure;true;sweet;hard;precious;complete;new;beautiful;important
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,happiness,bright;warm;joyful;sweet;pure;deep;real;endless;simple;shared
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,hate,strong;bitter;dark;deep;fierce;burning;cold;harsh;blind;painful
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;strong;real;open;brave;good;direct;fair
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,justice,fair;strong;true;clear;equal;honest;right;important;hard;necessary
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;important;clear;new;powerful;basic;shared
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;endless;gentle;beautiful;caring
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;deep;true;lasting;gentle;beautiful;inner;global
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Abstract Concepts,wisdom,deep;great;old;true;clear;strong;quiet;useful;rare;ancient
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;shiny;old;heavy;golden;bright;beautiful;ringing
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,candle,bright;warm;small;soft;glowing;white;tall;burning;pretty;simple
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,carpet,soft;thick;colorful;warm;big;old;beautiful;clean;expensive;patterned
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;silver;gold;round;heavy;rare;valuable;dirty
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,crown,golden;shiny;heavy;beautiful;royal;old;precious;big;jeweled;grand
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,flag,colorful;bright;big;national;proud;waving;torn;old;bold;symbolic
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,mask,scary;funny;black;white;mysterious;old;wooden;colorful;hidden;strange
grok-3,think-in-native,1.0,HE # Hebrew,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;gold;expensive;delicate;simple;elegant;precious
