Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,anger,angry;strong;deep;sudden;intense;blind;hot;raw;bitter;quiet
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,courage,brave;strong;big;great;true;sudden;quiet;cold;hot;bold
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,fear,scary;strong;deep;sudden;intense;dark;cold;big;small;quick
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,freedom,free;big;true;strong;new;good;full;open;wide;pure
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,happiness,happy;big;strong;full;bright;good;warm;true;simple;sweet
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,hate,bad;strong;deep;intense;blind;hot;bitter;dark;cold;quick
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,honesty,true;good;strong;simple;clear;pure;full;open;bright;fair
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,justice,fair;good;strong;true;clear;pure;full;open;bright;blind
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,knowledge,big;good;deep;true;strong;new;full;clear;pure;wide
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,love,true;strong;deep;warm;sweet;pure;full;good;big;blind
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,peace,quiet;good;full;warm;true;strong;deep;pure;clear;simple
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Abstract Concepts,wisdom,wise;deep;strong;true;good;full;clear;pure;big;old
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,bell,big;small;loud;old;new;shiny;broken;metal;round;clear
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,candle,small;big;bright;warm;old;new;white;red;broken;soft
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;colorful;dirty;clean;thick;thin;warm
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;metal;round;heavy;light;gold;silver
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,crown,big;old;new;shiny;gold;heavy;royal;broken;simple;beautiful
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,flag,big;old;new;colorful;national;red;blue;white;torn;high
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,mask,small;big;black;white;scary;funny;old;new;plastic;soft
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,necklace,beautiful;small;big;shiny;gold;silver;old;new;simple;colorful
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,painting,beautiful;big;small;old;new;colorful;dark;bright;simple;broken
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,ring,small;shiny;gold;silver;old;new;simple;beautiful;heavy;light
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,statue,big;old;new;stone;metal;tall;broken;beautiful;simple;strong
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;broken;colorful;glass;ceramic;simple
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,cloud,white;big;small;fluffy;dark;light;high;low;wet;cold
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;scary;deep;fast;bad;long;rare;powerful
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;wet;heavy;low;dark;quiet;slow;mysterious
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,lightning,bright;fast;scary;sudden;strong;hot;white;long;rare;dangerous
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;steady;soft;hard;long;short;warm
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;rare;clear;wide;high;simple;natural
grok-3-mini,think-in-native,0.0,KO # Korean,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;light;deep;wet;fresh;pure;quiet;beautiful
