Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;hot;bad;quick;sudden;great;deep;blind;fierce;wild
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;quiet;bold;heroic;steadfast;personal;big
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,fear,big;dark;sudden;deep;cold;real;strong;old;quick;bad
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,freedom,free;true;great;new;full;personal;basic;real;total;strong
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,happiness,great;real;full;true;simple;big;pure;lasting;quiet;warm
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;bitter;cold;pure;total;personal;intense;old
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,honesty,true;simple;pure;real;basic;full;good;straight;clear;strong
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,justice,fair;true;blind;great;basic;social;pure;real;strict;quick
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;true;basic;new;old;simple;useful;full
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,love,true;deep;strong;pure;big;lasting;warm;blind;real;simple
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,peace,true;quiet;full;lasting;great;inner;world;real;warm;simple
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;simple;pure;real;practical;quiet;strong
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;shiny;broken;golden;simple
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;colored;simple;long;soft
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;colorful;thick;clean;dirty;warm;simple
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,coin,old;new;small;big;shiny;gold;silver;rare;dirty;simple
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,crown,big;old;new;golden;royal;heavy;shiny;simple;broken;rich
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,flag,big;old;new;national;colorful;simple;torn;clean;dirty;proud
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,mask,old;new;simple;scary;colorful;protective;funny;small;big;wooden
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,necklace,beautiful;old;new;simple;shiny;gold;silver;small;big;colorful
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,painting,beautiful;old;new;simple;big;small;colorful;famous;quiet;dark
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;golden;shiny;simple;broken;wedding;special
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,statue,big;old;new;stone;metal;tall;famous;simple;broken;quiet
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;broken;colorful;simple;glass;shiny
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,cloud,big;white;dark;soft;high;low;fast;slow;rainy;fluffy
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;dangerous;deep;real;long;quick;bad;violent
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;morning;low;wet;quiet;dark;simple
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;sudden;powerful;quick;sky;white;hot;wild
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;warm;steady;quick;long;wet;soft;hard
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;rare;clear;simple;natural;full;high
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;fresh;heavy;wet;pure;quiet;beautiful
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dangerous;quick;long;dark;wet;loud;sudden
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;scary;natural;big;fast;dark;real
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;quiet;full;simple;wet;cold;rising
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,volcano,big;active;dangerous;old;hot;smoking;tall;wild;deep;quiet
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,wind,strong;cold;hot;fast;light;quiet;wild;gentle;dry;wet
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;ripe;old;hard
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,banana,yellow;long;big;small;fresh;sweet;ripe;soft;green;curved
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,beef,fresh;cooked;red;tough;soft;big;cheap;good;hot;cold
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,bread,fresh;old;soft;hard;white;brown;big;small;warm;simple
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,broccoli,green;fresh;big;small;cooked;raw;healthy;soft;long;crunchy
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;fresh;old;strong;mild;creamy;tasty
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,chicken,fresh;cooked;big;small;white;brown;hot;cold;tasty;simple
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,egg,fresh;old;big;small;white;brown;hard;soft;boiled;raw
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,fish,fresh;big;small;wild;cooked;raw;silver;tasty;cold;fast
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,pasta,cooked;hot;cold;simple;tasty;long;short;dry;fresh;soft
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,rice,white;cooked;hot;cold;simple;dry;sticky;fresh;big;small
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,soup,hot;cold;thick;thin;tasty;simple;fresh;vegetable;chicken;creamy
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,artist,talented;young;old;famous;creative;good;simple;busy;quiet;skilled
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,athlete,strong;fast;young;old;skilled;famous;fit;good;active;competitive
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,chef,skilled;famous;young;old;busy;good;creative;simple;fast;talented
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,doctor,good;busy;young;old;skilled;helpful;famous;simple;careful;smart
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,engineer,skilled;busy;young;old;good;creative;simple;famous;careful;smart
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,farmer,hard-working;old;young;simple;busy;good;strong;rural;careful;skilled
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,lawyer,smart;busy;good;young;old;skilled;famous;careful;simple;helpful
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,musician,talented;young;old;famous;good;creative;busy;simple;skilled;active
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,scientist,smart;busy;young;old;famous;creative;good;careful;simple;skilled
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,soldier,strong;brave;young;old;skilled;good;busy;simple;active;loyal
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,teacher,good;busy;young;old;skilled;helpful;famous;simple;patient;smart
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Human Roles,writer,talented;young;old;famous;creative;good;busy;simple;skilled;quiet
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;simple;thick;thin;colorful;good
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;simple;long;high;wooden;metal;broken
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,drums,big;small;old;new;loud;simple;wooden;metal;fast;strong
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,earth,big;green;beautiful;old;round;simple;wet;dry;hot;cold
grok-3-mini,think-in-native,1.0,TR # Turkish,B1,most frequent,Inanimate Objects,flute,small;old;new;simple;wooden;metal;sweet;soft;long;quiet
