Model,SystemPromptType,Temperature,Language,Proficiency,Experiment,ItemCategory,ItemID,ItemText,ItemResponse
gpt-4.1,think-in-native,0.0,AR # Arabic,Perfect,spatial_reasoning_experiment,Simple Route Triangle — mixed lexicon,SRT-1-REL,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, right, up, down, diagonal-down-right, east, south, or south-east. Choose ONE route description below and return only its letter.",b
gpt-4.1,think-in-native,0.0,AR # Arabic,Perfect,spatial_reasoning_experiment,Complex Route Grid,SRT-2,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few blocks as possible. Choose ONE route description below and return only its letter.",a
gpt-4.1,think-in-native,0.0,AR # Arabic,Perfect,spatial_reasoning_experiment,Micro-Maze 4×4 — multiple-choice routes,MN-1,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ONE and return only its letter.,b
gpt-4.1,think-in-native,0.0,AR # Arabic,Perfect,spatial_reasoning_experiment,Micro-Maze path description,MN-2,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any directional words you like. Return the description text only; do not include coordinates or extra commentary.,"Right, down, left, down, right, right, up, right, down to E."
gpt-4.1,think-in-native,0.0,BN # Bengali,Perfect,spatial_reasoning_experiment,Simple Route Triangle — mixed lexicon,SRT-1-REL,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, right, up, down, diagonal-down-right, east, south, or south-east. Choose ONE route description below and return only its letter.",b
gpt-4.1,think-in-native,0.0,BN # Bengali,Perfect,spatial_reasoning_experiment,Complex Route Grid,SRT-2,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few blocks as possible. Choose ONE route description below and return only its letter.",b
gpt-4.1,think-in-native,0.0,BN # Bengali,Perfect,spatial_reasoning_experiment,Micro-Maze 4×4 — multiple-choice routes,MN-1,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ONE and return only its letter.,a
gpt-4.1,think-in-native,0.0,BN # Bengali,Perfect,spatial_reasoning_experiment,Micro-Maze path description,MN-2,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any directional words you like. Return the description text only; do not include coordinates or extra commentary.,"Right, down, left, down, right, right, up, right, down to E."
gpt-4.1,think-in-native,0.0,DE # German,Perfect,spatial_reasoning_experiment,Simple Route Triangle — mixed lexicon,SRT-1-REL,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, right, up, down, diagonal-down-right, east, south, or south-east. Choose ONE route description below and return only its letter.",b
gpt-4.1,think-in-native,0.0,DE # German,Perfect,spatial_reasoning_experiment,Complex Route Grid,SRT-2,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few blocks as possible. Choose ONE route description below and return only its letter.",a
gpt-4.1,think-in-native,0.0,DE # German,Perfect,spatial_reasoning_experiment,Micro-Maze 4×4 — multiple-choice routes,MN-1,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ONE and return only its letter.,a
gpt-4.1,think-in-native,0.0,DE # German,Perfect,spatial_reasoning_experiment,Micro-Maze path description,MN-2,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any directional words you like. Return the description text only; do not include coordinates or extra commentary.,"Right, down, left, down, right, right, down, right to E."
gpt-4.1,think-in-native,0.0,ES # Spanish,Perfect,spatial_reasoning_experiment,Simple Route Triangle — mixed lexicon,SRT-1-REL,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, right, up, down, diagonal-down-right, east, south, or south-east. Choose ONE route description below and return only its letter.",b
gpt-4.1,think-in-native,0.0,ES # Spanish,Perfect,spatial_reasoning_experiment,Complex Route Grid,SRT-2,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few blocks as possible. Choose ONE route description below and return only its letter.",a
gpt-4.1,think-in-native,0.0,ES # Spanish,Perfect,spatial_reasoning_experiment,Micro-Maze 4×4 — multiple-choice routes,MN-1,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ONE and return only its letter.,a
gpt-4.1,think-in-native,0.0,ES # Spanish,Perfect,spatial_reasoning_experiment,Micro-Maze path description,MN-2,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any directional words you like. Return the description text only; do not include coordinates or extra commentary.,"Go right, down, left, down, right, right, up, right, down to reach E."
gpt-4.1,think-in-native,0.0,FA # Persian,Perfect,spatial_reasoning_experiment,Simple Route Triangle — mixed lexicon,SRT-1-REL,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, right, up, down, diagonal-down-right, east, south, or south-east. Choose ONE route description below and return only its letter.",b
gpt-4.1,think-in-native,0.0,FA # Persian,Perfect,spatial_reasoning_experiment,Complex Route Grid,SRT-2,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few blocks as possible. Choose ONE route description below and return only its letter.",a
gpt-4.1,think-in-native,0.0,FA # Persian,Perfect,spatial_reasoning_experiment,Micro-Maze 4×4 — multiple-choice routes,MN-1,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ONE and return only its letter.,a
gpt-4.1,think-in-native,0.0,FA # Persian,Perfect,spatial_reasoning_experiment,Micro-Maze path description,MN-2,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any directional words you like. Return the description text only; do not include coordinates or extra commentary.,"Right, down, left, down, right, right, up, right, down to E."
gpt-4.1,think-in-native,0.0,FR # French,Perfect,spatial_reasoning_experiment,Simple Route Triangle — mixed lexicon,SRT-1-REL,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, right, up, down, diagonal-down-right, east, south, or south-east. Choose ONE route description below and return only its letter.",b
gpt-4.1,think-in-native,0.0,FR # French,Perfect,spatial_reasoning_experiment,Complex Route Grid,SRT-2,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few blocks as possible. Choose ONE route description below and return only its letter.",a
gpt-4.1,think-in-native,0.0,FR # French,Perfect,spatial_reasoning_experiment,Micro-Maze 4×4 — multiple-choice routes,MN-1,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ONE and return only its letter.,a
gpt-4.1,think-in-native,0.0,FR # French,Perfect,spatial_reasoning_experiment,Micro-Maze path description,MN-2,Describe—in ≤ 20 English words—the path you would take from S to E in the maze below. Use any directional words you like. Return the description text only; do not include coordinates or extra commentary.,"Right, down, left, down, right, right, down, right to E."
gpt-4.1,think-in-native,0.0,GA # Irish,Perfect,spatial_reasoning_experiment,Simple Route Triangle — mixed lexicon,SRT-1-REL,"You start at point A facing toward point B. Move until you reach point C. Use ONLY the words left, right, up, down, diagonal-down-right, east, south, or south-east. Choose ONE route description below and return only its letter.",b
gpt-4.1,think-in-native,0.0,GA # Irish,Perfect,spatial_reasoning_experiment,Complex Route Grid,SRT-2,"City blocks are perfect squares; ""X"" is an impassable park. Get from point A to point D in as few blocks as possible. Choose ONE route description below and return only its letter.",a
gpt-4.1,think-in-native,0.0,GA # Irish,Perfect,spatial_reasoning_experiment,Micro-Maze 4×4 — multiple-choice routes,MN-1,You are at S (start). The goal is E (exit). Each option below is a full sequence of moves. Choose ONE and return only its letter.,a
